seed,gain,coh,n,p_net,p_mod
45,0.8,0.0,180,0.45555555555555555,0.45125639265547746
45,0.8,0.03,186,0.6236559139784946,0.6570345471935569
45,0.8,0.06,177,0.8531073446327684,0.8490383864291696
45,0.8,0.09,163,0.9570552147239264,0.9460185472217857
45,0.8,0.12,191,0.9947643979057592,0.9885220995077536
45,0.8,0.15,196,1.0,0.9989145110236958
45,1.0,-0.15,214,0.0,0.00040830964972417023
45,1.0,-0.12,168,0.0,0.005071549932399653
45,1.0,-0.09,155,0.025806451612903226,0.018036867086686857
45,1.0,-0.06,183,0.060109289617486336,0.05768504450377694
45,1.0,-0.03,187,0.18716577540106952,0.19782004562306038
45,1.0,0.0,180,0.42777777777777776,0.4310200572177079
45,1.0,0.03,186,0.6666666666666666,0.6688248119168251
45,1.0,0.06,177,0.8870056497175142,0.8677413783315497
45,1.0,0.09,163,0.9693251533742331,0.9640595492455505
45,1.0,0.12,191,0.9895287958115183,0.9946357647404104
45,1.0,0.15,196,1.0,0.9993629349560654
45,1.2,-0.15,214,0.0,0.006289544303533373
45,1.2,-0.12,168,0.017857142857142856,0.028088988122272656
45,1.2,-0.09,155,0.07096774193548387,0.07336707604262187
45,1.2,-0.06,183,0.12021857923497267,0.13408317774761636
45,1.2,-0.03,187,0.3048128342245989,0.2855656641389644
45,1.2,0.0,180,0.49444444444444446,0.4950451912433356
45,1.2,0.03,186,0.6559139784946236,0.6570722249868006
45,1.2,0.06,177,0.8531073446327684,0.8315139114392986
45,1.2,0.09,163,0.9386503067484663,0.9331440345290161
45,1.2,0.12,191,0.9738219895287958,0.9768867918240378
45,1.2,0.15,196,0.9948979591836735,0.9907239683547218
46,0.8,-0.15,214,0.004672897196261682,0.0006119273763128562
46,0.8,-0.12,168,0.011904761904761904,0.015007556844299148
46,0.8,-0.09,155,0.03870967741935484,0.024421269081879783
46,0.8,-0.06,183,0.0546448087431694,0.0839754527505796
46,0.8,-0.03,187,0.1657754010695187,0.18964103630948698
46,0.8,0.0,180,0.4,0.3644940998062373
46,0.8,0.03,186,0.5483870967741935,0.5552047672305406
46,0.8,0.06,177,0.7401129943502824,0.7482474586773495
46,0.8,0.09,163,0.8834355828220859,0.8817225037267046
46,0.8,0.12,191,0.9685863874345549,0.9643156925249017
46,0.8,0.15,196,0.9948979591836735,0.9919613561099663
46,1.0,-0.15,214,0.0,0.0001943042152391258
46,1.0,-0.12,168,0.0,0.002942865729182128
46,1.0,-0.09,155,0.0064516129032258064,0.010935891165108317
46,1.0,-0.06,183,0.03825136612021858,0.03893468938740239
46,1.0,-0.03,187,0.1443850267379679,0.14884002599968763
46,1.0,0.0,180,0.38333333333333336,0.36163315558212444
46,1.0,0.03,186,0.6075268817204301,0.5996156169682297
46,1.0,0.06,177,0.8418079096045198,0.8272223205171217
46,1.0,0.09,163,0.9325153374233128,0.946846582030154
46,1.0,0.12,191,0.9790575916230366,0.9909743040483104
46,1.0,0.15,196,1.0,0.998908409471685
46,1.2,-0.15,214,0.0,0.0028272403842164455
46,1.2,-0.12,168,0.0,0.015237239364158757
46,1.2,-0.09,155,0.05161290322580645,0.04339063682106572
46,1.2,-0.06,183,0.09836065573770492,0.09068164099702028
46,1.2,-0.03,187,0.20855614973262032,0.21812834427053823
46,1.2,0.0,180,0.43333333333333335,0.41979477838830426
46,1.2,0.03,186,0.6290322580645161,0.5983077230455229
46,1.2,0.06,177,0.8135593220338984,0.7973097418332944
46,1.2,0.09,163,0.901840490797546,0.9173997818546235
46,1.2,0.12,191,0.9685863874345549,0.9720930319424194
46,1.2,0.15,196,0.9846938775510204,0.9890558957941851
47,0.8,-0.15,214,0.0,0.00064236074258403
47,0.8,-0.12,168,0.023809523809523808,0.014282317873341707
47,0.8,-0.09,155,0.012903225806451613,0.025564608480206103
47,0.8,-0.06,183,0.11475409836065574,0.10019741247700278
47,0.8,-0.03,187,0.2192513368983957,0.24047727418592818
47,0.8,0.0,180,0.4444444444444444,0.46485500252313144
47,0.8,0.03,186,0.6989247311827957,0.6711041817923084
47,0.8,0.06,177,0.8813559322033898,0.8622623120825599
47,0.8,0.09,163,0.9447852760736196,0.9531697049299516
47,0.8,0.12,191,0.9842931937172775,0.9906319011808223
47,0.8,0.15,196,1.0,0.9993584165401014
47,1.0,-0.15,214,0.0,0.00034200669712880597
47,1.0,-0.12,168,0.011904761904761904,0.004853201445188468
47,1.0,-0.09,155,0.03225806451612903,0.017300617303951597
47,1.0,-0.06,183,0.07650273224043716,0.0579988178617776
47,1.0,-0.03,187,0.1925133689839572,0.20601913947958606
47,1.0,0.0,180,0.42777777777777776,0.45089831262596064
47,1.0,0.03,186,0.6612903225806451,0.6957733378035682
47,1.0,0.06,177,0.8983050847457628,0.8863606001075217
47,1.0,0.09,163,0.9693251533742331,0.9733662675035044
47,1.0,0.12,191,1.0,0.9968415072924648
47,1.0,0.15,196,1.0,0.9997698835666311
47,1.2,-0.15,214,0.0,0.0030199740072169878
47,1.2,-0.12,168,0.005952380952380952,0.01643447425876432
47,1.2,-0.09,155,0.05161290322580645,0.04921975045530219
47,1.2,-0.06,183,0.10382513661202186,0.10602448372774853
47,1.2,-0.03,187,0.22994652406417113,0.25595906160987736
47,1.2,0.0,180,0.5055555555555555,0.47910543994578725
47,1.2,0.03,186,0.6881720430107527,0.6632141488151284
47,1.2,0.06,177,0.8587570621468926,0.8482867100516069
47,1.2,0.09,163,0.950920245398773,0.9449335278975831
