bound,gain,g,g_lo,g_hi,med_net,med_mod,med_lo,med_hi,om_net,om_mod,om_lo,om_hi,acc_net,acc_mod,n_rep
1.5,0.8,9.98597865,9.928355217500002,9.999544785,145.0,138.55,137.34875000000002,140.30249999999998,3.4000000000000004,1.7575,1.6446874999999903,1.87575,0.8840784891128918,0.8680683149838773,40
1.5,1.0,9.9699521,9.84603715,9.998032782500001,99.0,96.35,94.88875,97.3025,0.29749999999999,0.19749999999999,0.15487499999999974,0.23262499999999997,0.8482216708023159,0.8415391255205678,40
1.5,1.2,9.184905,8.717437069999999,9.6905531675,76.0,75.49999999999999,74.3975,76.2025,0.02999999999999,0.02499999999999,0.007437500000004593,0.037749999999999985,0.8199972493467198,0.8175929366764493,40
2.0,0.8,9.9803185,9.90533319,9.9990180425,203.0,185.85000000000002,183.9925,187.50750000000002,13.40249999999999,6.05749999999999,5.8421249999999905,6.3784375,0.9239736915931548,0.8966456694065557,40
2.0,1.0,9.963425999999998,9.81084759,9.997127650000001,136.0,130.97499999999997,129.39,131.925,1.69749999999999,1.183749999999995,1.0985624999999999,1.31,0.8823611459815326,0.8723783249212094,40
2.0,1.2,4.874681300000001,4.2943464425,5.472627274999999,102.0,100.25,99.295,101.4025,0.21499999999998998,0.20124999999999998,0.15731249999999,0.22793749999999977,0.8470481280476047,0.8449094816379172,40
2.5,0.8,6.72827,6.20184461,7.23317445,255.0,226.90000000000003,224.04875000000004,229.50500000000002,30.69499999999999,11.32875,10.889312499999999,11.629125,0.9520637108507544,0.9173604829045736,40
2.5,1.0,5.7483953,5.322954435000001,6.195328625,171.0,162.6,160.98749999999998,164.70250000000001,10.055,2.84249999999999,2.639625,3.0738749999999997,0.9064776590577952,0.8903629556603869,40
2.5,1.2,4.7296977,4.2337028425,5.2489163875,127.0,124.55,122.9925,126.0025,5.5699999999999905,0.621249999999995,0.5623124999999902,0.72037499999999,0.8682312569068807,0.8591640810630188,40
2.94,0.8,9.93020415,9.625059035,9.996177545,321.0,278.90000000000003,274.54375,283.19374999999997,66.9,20.70499999999999,19.85743749999999,21.29656249999999,0.9748684520537186,0.9273864001116231,40
2.94,1.0,2.2681242,1.943003705,2.6187433924999994,229.0,209.90000000000003,207.59250000000006,211.90000000000003,30.362499999999997,6.301249999999994,5.947499999999999,6.560437499999989,0.930138791967124,0.9033308643006236,40
2.94,1.2,0.823301675,0.47861409424999996,1.115802759,166.0,161.5,160.1875,163.105,14.31,1.84249999999999,1.6740625000000002,2.0011249999999996,0.8854712878884767,0.8730538251035036,40
