fit,s08,s10,s12,slope_err,rms,span
"HSSM, threshold 1.5",-0.0408193646691085,-0.0565013752353609,-0.0642777951115155,0.05895287987116976,0.1513982938002529,0.023458430442407002
"HSSM, threshold 2.0",-0.023543495737343,-0.0445010280962088,-0.0570983149484553,0.046800981126510495,0.1148851394995758,0.033554819211112294
"HSSM, threshold 2.5",-0.0113954642947332,-0.0352028834144476,-0.051558152358479,0.037805534888394735,0.09106174574202701,0.0401626880637458
"HSSM, threshold 2.94",0.0063031136772871,-0.0245236790636114,-0.0425393268930988,0.025339998958982504,0.06490879420018683,0.0488424405703859
"Track B, choice given evidence",0.0408936189772399,0.0024228018797782,-0.0307815059418236,0.0022445522181115656,0.011176260900403278,0.0716751249190635
