threshold,gain,net,net_lo,net_hi,model,model_lo,model_hi,n_draws
1.5,0.8,0.0391732580670018,0.0378935940436546,0.0403764995149362,-0.0408242661920928,-0.04140929875223831,-0.04032507598654553,40
1.5,1.0,0.0021389293040139,0.0010184859584687,0.0031729194375027,-0.05658200962437135,-0.056895203076912225,-0.056258948420807184,40
1.5,1.2,-0.0260520827734913,-0.0275272120347871,-0.0247942370743184,-0.0642702588789584,-0.06450966032371287,-0.0640437357034084,40
2.5,0.8,0.0391732580670018,0.0378935940436546,0.0403764995149362,-0.011333753716169351,-0.012525205058666103,-0.010599558589306201,40
2.5,1.0,0.0021389293040139,0.0010184859584687,0.0031729194375027,-0.03526450323657375,-0.03592517814073586,-0.03450051035707727,40
2.5,1.2,-0.0260520827734913,-0.0275272120347871,-0.0247942370743184,-0.05150365297337245,-0.052035720104972816,-0.05112787200720785,40
2.94,0.8,0.0391732580670018,0.0378935940436546,0.0403764995149362,0.0063632188400403,0.0054360871811441,0.00737656106991929,40
2.94,1.0,0.0021389293040139,0.0010184859584687,0.0031729194375027,-0.0241804454976688,-0.025405087361433015,-0.02340569206168148,40
2.94,1.2,-0.0260520827734913,-0.0275272120347871,-0.0247942370743184,-0.04271228838866,-0.043228670726881135,-0.042168146638913245,40
