bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
2.5,1.2,0.5,0.0,False,1698,155.0,0.5014766686355582,160.77375,0.4991825293723995,80
2.5,1.2,0.5,0.0,True,1688,162.5,0.4985233313644418,161.73625,0.5008174706276005,80
2.5,1.2,0.5,0.03,False,2126,162.0,0.3167933243927879,154.90187499999996,0.3278627920487911,80
2.5,1.2,0.5,0.03,True,4585,156.0,0.683206675607212,156.9625,0.6721372079512089,80
2.5,1.2,0.5,0.06,False,1257,147.0,0.1857543963351559,139.95437499999997,0.1929218197501453,80
2.5,1.2,0.5,0.06,True,5510,146.0,0.8142456036648441,142.929375,0.8070781802498546,80
2.5,1.2,0.5,0.09,False,675,131.0,0.0959079283887468,120.93812499999999,0.10500299046541199,80
2.5,1.2,0.5,0.09,True,6363,129.0,0.9040920716112532,126.02374999999999,0.8949970095345879,80
2.5,1.2,0.5,0.12,False,320,114.5,0.0463096960926193,104.45500000000001,0.056049504144404974,80
2.5,1.2,0.5,0.12,True,6590,113.0,0.9536903039073806,109.45500000000001,0.9439504958555951,80
2.5,1.2,0.5,0.15,False,153,105.0,0.0219827586206896,89.70875,0.028389489597532812,80
2.5,1.2,0.5,0.15,True,6807,95.0,0.9780172413793105,95.82874999999999,0.9716105104024673,80
2.5,1.2,0.75,0.0,False,1698,255.75,0.5014766686355582,277.59875,0.4991825293723995,80
2.5,1.2,0.75,0.0,True,1688,257.25,0.4985233313644418,278.2690625000001,0.5008174706276005,80
2.5,1.2,0.75,0.03,False,2126,262.75,0.3167933243927879,265.769375,0.3278627920487911,80
2.5,1.2,0.75,0.03,True,4585,261.0,0.683206675607212,267.81437500000004,0.6721372079512089,80
2.5,1.2,0.75,0.06,False,1257,240.0,0.1857543963351559,238.86000000000004,0.1929218197501453,80
2.5,1.2,0.75,0.06,True,5510,242.0,0.8142456036648441,241.98781250000002,0.8070781802498546,80
2.5,1.2,0.75,0.09,False,675,208.0,0.0959079283887468,202.82187500000003,0.10500299046541199,80
2.5,1.2,0.75,0.09,True,6363,207.0,0.9040920716112532,207.668125,0.8949970095345879,80
2.5,1.2,0.75,0.12,False,320,180.5,0.0463096960926193,169.12593750000002,0.056049504144404974,80
2.5,1.2,0.75,0.12,True,6590,175.0,0.9536903039073806,175.17593749999997,0.9439504958555951,80
2.5,1.2,0.75,0.15,False,153,163.0,0.0219827586206896,141.53125,0.028389489597532812,80
2.5,1.2,0.75,0.15,True,6807,147.0,0.9780172413793105,148.65843750000002,0.9716105104024673,80
2.94,0.8,0.25,0.0,False,247,214.5,0.4871794871794871,208.75,0.5096825556820447,80
