seed,gain,hit_mode,g,g_lo,g_hi,B,v,a_bias,nll,r1_g,r1_g_se,model_hit_frac,net_hit_frac,acc_model,acc_net,prof_edge,prof_better,M,n_trials,minutes
42,0.8,bern,6.588230385729737,5.699823718896688,7.39490040894863,0.8189817615543387,38.308441240669104,0.01690667024245352,912.3403567897888,4.552404563292733,0.24408924568187565,0.8751366666666667,0.9275,0.907,0.859,True,-0.17928469833145755,300,2000,18.333718037605287
43,0.8,bern,3.4480538041683637,3.4480538041683637,3.7090074684169947,0.9690477189818604,40.666982879668076,-0.19700987188379185,794.1362136513653,2.7175136197138916,0.214312849796919,0.8986283333333334,0.934,0.9035,0.8805,True,-3.719699206914015,300,2000,21.14821046590805
44,0.8,bern,4.1921360554291125,3.905823594991518,4.762533874791451,1.2030218809652933,43.61956320130693,-0.3434435960935431,983.1277833985332,2.888292194623296,0.250114452998862,0.75544,0.7835,0.904,0.8705,False,-0.0442749581247881,300,2000,19.014210975170137
45,0.8,bern,4.549856413547475,3.8054781765197405,5.091660184649254,0.9191221873674031,39.31653591200614,-0.09364182456606392,877.5925439370617,2.951513923185407,0.22263981305086208,0.8719649999999999,0.9185,0.907,0.873,False,-0.12100758299050085,300,2000,17.918225264549257
46,0.8,bern,5.78728115234148,4.934422017054954,6.483375419284368,1.0360288465800533,45.01034357700462,-0.3296192187125988,1011.2770220170567,4.458205560902983,0.2730082681856943,0.8197883333333335,0.8605,0.9015,0.861,False,0.0,300,2000,18.83445485830307
47,0.8,bern,5.223276173238296,4.588591971803343,5.53500779072583,1.1125026824672202,48.60725589177068,-0.18047447750765855,875.7789240767875,3.043563038556134,0.22663996290229382,0.8397866666666667,0.873,0.906,0.8815,True,-1.91875527224704,300,2000,18.045061326026918
48,0.8,bern,6.698463259102764,5.51952948401206,7.450005169880893,0.9432360580213254,40.885728522397166,-0.21550722784447598,1035.2055259644303,4.764280587865889,0.2741239178163253,0.8018066666666667,0.84,0.9025,0.861,True,-0.19914388542565575,300,2000,19.246493788560233
49,0.8,bern,4.565332256777536,3.565332256777536,5.506509885874187,1.0239773977320779,46.66320819931239,0.015916299091315138,803.847471634548,2.805129943615167,0.20696551614813588,0.8815183333333332,0.9225,0.903,0.876,True,-0.00927559411513812,300,2000,17.9993417541186
50,0.8,bern,7.383382387366378,6.664226908834379,8.186706178160291,0.8651650625691948,41.45446223996844,-0.22679352715820655,977.0103726330444,4.754245793112315,0.26722589990502654,0.85575,0.903,0.907,0.861,True,-0.0847882864014764,300,2000,26.079424520333607
51,0.8,bern,5.4818715931572255,5.1487029461541285,6.155751926627552,0.9987757252657453,41.5273245679562,-0.4467520611181383,955.7499019194181,3.1204726575797284,0.24368207625642532,0.8232849999999999,0.8575,0.902,0.8735,False,0.0,300,2000,20.44204315741857
52,0.8,bern,8.994917984915961,7.954569637954921,9.624898083413427,0.9400978089561394,44.91458208742774,0.22736762356615586,1059.7223245644764,3.8454500770461975,0.2763204650167255,0.7871266666666668,0.816,0.896,0.8435,True,-0.31231394863129935,300,2000,18.561359516779582
53,0.8,bern,7.179674248536951,7.179674248536951,9.179674248536951,0.974207969381141,45.63282050337598,-0.23795876548284176,1005.9613617138517,4.9417063716923915,0.25803688631568084,0.82062,0.8755,0.9015,0.858,True,-0.7188043564609643,300,2000,28.360927311579385
54,0.8,bern,8.193788301208173,8.053337843794152,8.3400049914523,0.8411280938762536,37.73704089778343,-0.2379844888244696,1114.1069975070673,6.034096169294042,0.2795609252513051,0.8047616666666667,0.852,0.9045,0.846,False,-2.6796451540124053,300,2000,17.26231845617294
55,0.8,bern,6.020093819259273,5.4918349900727685,6.808471616734365,1.0510300380265178,46.78513836121815,0.03590473442793822,957.9886450207473,4.418714350859815,0.2417711047217544,0.8203733333333332,0.865,0.902,0.8675,False,-0.7054682329696789,300,2000,18.1433665116628
56,0.8,bern,8.22831087689391,7.228310876893911,9.22831087689391,0.7957579193155508,38.80032289680008,0.09692000800027521,966.0860466974178,4.854843524576434,0.25051066745646855,0.8597016666666667,0.916,0.901,0.8605,True,-0.005809524971596147,300,2000,18.534281504154205
57,0.8,bern,6.628480740230682,5.716044703302527,7.0581446911770165,0.849428907501003,40.32259824131813,0.028960946964306462,921.0257135014185,3.8373635839314995,0.24288125183123668,0.8677249999999999,0.9215,0.908,0.8715,True,-0.7818206547657383,300,2000,15.000555487473806
58,0.8,bern,1.3140885746341002,1.2289763642272682,1.421102846976609,1.948809502921544,26.63216152661642,-1.4512251415593274,1365.3405197231782,2.505138119144469,0.2637508881732163,0.4556383333333333,0.5005,0.8725,0.874,False,0.0,300,2000,20.79377116759618
59,0.8,bern,5.711117231768435,5.183284861361565,6.252790713144913,1.0131862239550313,43.84630160874782,-0.18635611146300943,982.9520142598545,4.584781061866709,0.2506892459927806,0.8154566666666667,0.863,0.9025,0.8645,True,-1.363500680637685,300,2000,19.557918838659923
60,0.8,bern,6.021051595568337,5.863689170162274,6.274673125908416,0.9167615531095155,40.05627569891908,-0.3007876608636123,961.819685540821,4.42951368586437,0.250131709898164,0.8339816666666667,0.8865,0.903,0.8705,True,-3.7857781968535846,300,2000,22.858348313967387
61,0.8,bern,4.541744283437236,4.270645531744401,5.276183874848858,1.1693848932896052,46.09377547784642,0.39027919811500666,953.5708821167725,3.7683376529888672,0.2392105290582117,0.7959649999999999,0.8405,0.8905,0.8645,False,-0.04118369746367989,300,2000,18.70424903233846
42,1.2,bern,-3.1212297873050034,-3.5488894623067666,-2.5937658663908536,1.366193758979754,51.150456691596276,-0.18010353830289927,384.35036765697174,-2.0414307806071976,0.20000112230286332,0.9744033333333334,0.9995,0.884,0.8815,False,-1.5957455584438662,300,2000,16.75714830160141
43,1.2,bern,-6.38351679525428,-6.996043693243402,-5.891134874907387,1.627138624407568,49.998691206676696,-0.07933386526796989,430.0445139634116,-5.166209334805237,0.3186506704312754,0.99173,0.999,0.8605,0.8505,False,0.0,300,2000,17.105944474538166
44,1.2,bern,-2.5244919792970237,-3.136497709202395,-2.0539986217562594,1.3981097732161907,48.43528424847483,-0.15753692766033867,473.17497529817524,-2.0156913165409076,0.2107218939558792,0.9614033333333334,0.9805,0.8915,0.884,False,-0.15946678815936366,300,2000,17.434879140059152
45,1.2,bern,-4.823436836782959,-5.6534159182299275,-4.151839347116765,1.2750865154866413,45.086832587231754,-0.018260881844261365,467.6261875820463,-4.068285300984553,0.2906507716483225,0.9879383333333333,0.9965,0.863,0.856,False,0.0,300,2000,18.028648455937702
46,1.2,bern,-4.314723806753958,-4.732631599138993,-3.658429970290733,1.4721718422320957,58.03592104986197,-0.12135999786384896,400.8956192046635,-3.9339617912571234,0.25882553818508897,0.9875116666666668,0.998,0.8725,0.865,False,-0.05001091767678645,300,2000,17.39699195623398
47,1.2,bern,-3.41302780525214,-3.5340392878807654,-2.9015560666512394,1.2087926098579753,48.533201682840684,-0.050719981319499036,415.83378367550694,-3.436550156381007,0.24622445171909157,0.9843500000000001,0.9965,0.872,0.8695,False,0.0,300,2000,19.214575493335722
48,1.2,bern,-3.439567478834186,-3.8839020138885747,-3.085374419207298,1.5018101719326717,52.25043298552601,-0.08584065465586954,440.2652983188516,-2.4312637207050765,0.2197927909428922,0.9736766666666666,0.99,0.881,0.8685,False,-0.03191362431107336,300,2000,20.108031074206036
49,1.2,bern,-4.836603701962098,-5.535047084834286,-4.159969960972494,1.4046063879336184,49.17401143735153,0.005854327740793326,437.1421090197919,-4.30188156861927,0.2761930789981047,0.9869166666666667,0.994,0.858,0.851,False,0.0,300,2000,15.152121849854787
50,1.2,bern,-3.5781484179606258,-4.0975941549454005,-3.192879421754742,1.426700636433538,48.299605771258584,-0.10483104813059166,429.39008938826856,-2.163488797596602,0.21996857795021163,0.975005,0.9965,0.8775,0.88,False,-0.271741703677435,300,2000,16.682684981822966
51,1.2,bern,-4.350949536201634,-4.634512658850824,-3.964837842661927,1.4045956760934286,46.402631738386134,-0.1924626404631249,485.9853742791685,-4.0261919431251725,0.2755366733624823,0.9817116666666665,0.9895,0.879,0.8635,False,-0.22541818901657962,300,2000,15.099460331598918
52,1.2,bern,-1.5835321816661518,-2.249268612163608,-0.6182863692147598,1.1323911600481977,46.29746262324815,-0.07931990795149002,461.9890392475454,-2.195678812911331,0.22339943028225984,0.9715266666666666,0.988,0.884,0.878,True,-0.06808514449937775,300,2000,18.12667758067449
53,1.2,bern,-3.060277291650179,-3.5552200574823885,-2.26732523399555,1.4153569671000186,49.8260646690172,-0.1359931127987096,465.85576102406037,-1.4683612918865543,0.20246491753395443,0.97073,0.9955,0.8835,0.8845,False,0.0,300,2000,17.388868192831676
54,1.2,bern,-2.5266552155829864,-2.5266552155829864,-1.1493345925998695,1.1154232071940648,42.4231297567224,-0.06619626181450036,466.44468086304573,-1.5192700645173862,0.20567784683700163,0.975525,0.997,0.884,0.8795,True,-0.05137383121672201,300,2000,17.223012407620747
55,1.2,bern,-4.093269047159615,-4.546856362922641,-3.263453310340765,1.5016961824555202,53.6157266692872,-0.06007683441519757,408.6234858076476,-3.040231930313885,0.24362662881422603,0.9813716666666666,0.9955,0.8725,0.8705,False,-0.04457674143145596,300,2000,20.933217811584473
56,1.2,bern,-4.353555480208966,-5.0291995072149245,-4.075484109019675,1.219898484474914,38.438087844156634,0.12073803373981443,482.76320460120814,-2.436291581407624,0.26155878080234685,0.98124,0.9995,0.8495,0.851,False,0.0,300,2000,18.547771581013997
57,1.2,bern,-4.178426648239366,-4.9810790070400515,-3.7084568422021307,1.2786640601706014,46.03721090157573,-0.019003511675717247,436.6018996579073,-3.132392993724506,0.2596150473542682,0.9842716666666667,0.9985,0.8695,0.8585,False,0.0,300,2000,18.167887500921886
58,1.2,bern,-2.6352379502080505,-3.4528999994655445,-1.6352379502080505,2.591199760662954,19.30741420915711,-0.2609270661395423,1686.1183200871933,-2.991156044456701,0.28622310137892143,0.6941433333333333,0.697,0.8805,0.866,True,0.0,300,2000,20.545866481463115
59,1.2,bern,-3.780892872873331,-4.117917290881808,-3.6116389468032297,1.1597697676623258,43.47691088990532,-0.11222178934508507,455.57412349714224,-2.8278298062063145,0.24640861359157237,0.9845466666666666,0.9965,0.876,0.8725,False,0.0,300,2000,15.02050062417984
60,1.2,bern,-3.4061284444643363,-4.012138117313597,-2.820989705260932,1.2443356286838985,43.56259726906992,-0.13323426053459037,472.8844657869913,-1.9421518950948888,0.23386175146862398,0.9769083333333333,0.9955,0.883,0.8815,False,-0.010040705943879402,300,2000,17.417558260758717
61,1.2,bern,0.615080662787002,-0.384919337212998,1.615080662787002,1.126872402119423,48.440322036315365,0.23649333845403253,541.9406772228233,-0.92755907421955,0.20939631871913236,0.9492666666666667,0.977,0.8755,0.8675,True,0.0,300,2000,18.411318504810332
42,0.8,cross,10.482617290067491,10.203472618959356,10.852181109532486,0.8582605307573773,52.306161921095345,0.09088107016089073,2760.6232417084057,4.552404563292733,0.24408924568187565,0.90846,0.9275,0.8955,0.859,False,0.0,300,2000,19.700164365768433
43,0.8,cross,7.653403126813514,6.982147018065178,8.01457191523604,0.8742742991761602,49.3337167050386,-0.06509660814506027,2826.959290530451,2.7175136197138916,0.214312849796919,0.9300766666666667,0.934,0.899,0.8805,False,-0.5354417162716345,300,2000,20.36360501050949
44,0.8,cross,5.826529599322022,5.638515555595665,6.500653574441831,1.1755226935421696,50.39523546269538,-0.24875478192827266,2522.8578600000787,2.888292194623296,0.250114452998862,0.7807183333333334,0.7835,0.9035,0.8705,False,-1.3339691488467906,300,2000,20.15781749486923
45,0.8,cross,8.443062693189512,8.043703936278852,9.100280786981314,0.8785220964855422,49.995194066462275,0.12511778493683406,2797.7186337622006,2.951513923185407,0.22263981305086208,0.9122983333333334,0.9185,0.8925,0.873,False,-0.9703768460467472,300,2000,25.94045636256536
46,0.8,cross,7.567684533151435,7.198779466306449,8.217357072340779,0.9976646751115005,49.68285955840811,-0.078141121823613,2657.509154571046,4.458205560902983,0.2730082681856943,0.8406633333333333,0.8605,0.906,0.861,False,0.0,300,2000,19.22608448266983
47,0.8,cross,7.136486341548426,6.993755322380472,7.304730691381161,0.9838234063699671,50.657917316484244,-0.09563159560785142,2685.642643191169,3.043563038556134,0.22663996290229382,0.87539,0.873,0.9055,0.8815,False,-0.23325757359361887,300,2000,11.444956529140473
48,0.8,cross,8.890996124937516,8.715244484344234,9.291917574863563,0.9485397866157387,48.69606054269144,-0.14257925045811512,2727.9313389178924,4.764280587865889,0.2741239178163253,0.8268166666666666,0.84,0.8995,0.861,False,-1.1175085926447537,300,2000,22.12600920200348
49,0.8,cross,7.372563410176781,6.838107263053782,7.633340378190892,0.9037646862487589,50.138419103858055,0.026379990387965114,2740.4373612141812,2.805129943615167,0.20696551614813588,0.9177933333333332,0.9225,0.899,0.876,False,-0.8245191353539667,300,2000,19.608670357863108
50,0.8,cross,8.758549465181643,8.49594864315357,8.922522292487649,0.9394458476303726,52.17091742183454,-0.08769668492381738,2802.489240628012,4.754245793112315,0.26722589990502654,0.8852049999999999,0.903,0.91,0.861,True,-17.2056400175652,300,2000,11.890131465593974
51,0.8,cross,8.255206105445486,7.642859588252855,8.538903793081788,0.9314848741077535,48.17356056288857,-0.13690419594671102,2818.4111905526247,3.1204726575797284,0.24368207625642532,0.8594866666666667,0.8575,0.906,0.8735,True,-0.7287854413852983,300,2000,15.840565450986226
52,0.8,cross,10.898239328164816,10.4870338799029,11.639577745616352,0.9080411982454644,48.68325788695843,0.2226348986021801,2695.419991597799,3.8454500770461975,0.2763204650167255,0.8098516666666666,0.816,0.8935,0.8435,False,-0.04222452702197188,300,2000,16.71396349668503
53,0.8,cross,10.491059527615773,10.217489275042619,10.491059527615773,0.9717005364142905,55.55146452966583,-0.06421934931643572,2687.128697032604,4.9417063716923915,0.25803688631568084,0.851615,0.8755,0.904,0.858,True,-5.098101896695425,300,2000,17.91926871140798
54,0.8,cross,9.201448950278795,8.999739178999574,9.365349409524178,0.9416844854836482,48.67805716196466,-0.2553561900563004,2884.709403765597,6.034096169294042,0.2795609252513051,0.8281133333333334,0.852,0.9005,0.846,False,0.0,300,2000,16.91465420325597
55,0.8,cross,9.520811669373535,8.920896356662977,9.872514299263853,0.9203041460239947,50.49613372716419,-0.005019258997315516,2743.01869787938,4.418714350859815,0.2417711047217544,0.8597266666666666,0.865,0.9015,0.8675,False,-0.42225739578452703,300,2000,21.60291269222895
56,0.8,cross,8.17396034397662,7.440747523207768,9.122485703087216,0.9238792934869857,51.91028207154748,-0.020635962572158835,2790.551790241964,4.854843524576434,0.25051066745646855,0.9025799999999999,0.916,0.9045,0.8605,False,-0.004268263431185915,300,2000,18.695072281360627
57,0.8,cross,8.304243804624377,8.031025474258874,8.628031168779229,0.8866854282736955,49.30069518333781,0.060081621013488226,2795.304609296144,3.8373635839314995,0.24288125183123668,0.901435,0.9215,0.905,0.8715,False,0.0,300,2000,18.319338297843935
58,0.8,cross,1.1331846278988436,1.0822261701366684,1.1636644987608993,2.217744239746576,31.88085392375589,-1.6561914074828707,2476.995148571981,2.505138119144469,0.2637508881732163,0.4800083333333333,0.5005,0.8725,0.874,False,0.0,300,2000,19.69778105020523
59,0.8,cross,8.46054095431335,7.950591412425576,8.615156812306225,0.9575854143071303,48.940377488711505,-0.1440343259328723,2720.742211399523,4.584781061866709,0.2506892459927806,0.8376816666666667,0.863,0.9005,0.8645,True,-2.0305448161152526,300,2000,19.481050117810568
60,0.8,cross,8.195620492908755,7.980944106695253,8.554562616488592,0.9690465558059103,51.79856322254757,-0.21484266591359436,2712.1461415790914,4.42951368586437,0.250131709898164,0.8727283333333332,0.8865,0.9035,0.8705,False,-3.527283177864774,300,2000,18.284184273084005
61,0.8,cross,7.88504343774371,7.486923673670584,8.068507385903823,1.0079461035060941,50.9085886997913,0.28304120180770787,2658.4157273606966,3.7683376529888672,0.2392105290582117,0.841235,0.8405,0.8935,0.8645,False,-0.0806576914942525,300,2000,19.200600250562033
42,1.2,cross,0.371480069209929,-0.04261580788561581,0.8571588059514477,0.7676798099532953,52.124616140514846,0.023887744916350012,2687.65148279421,-2.0414307806071976,0.20000112230286332,0.9979883333333334,0.9995,0.8355,0.8815,False,-0.2989378408083212,300,2000,21.93621701002121
43,1.2,cross,-4.978470126417987,-5.342927610687645,-4.542005350448799,0.8598917091709554,54.662616923681355,-0.030297598224915123,2713.6631680436462,-5.166209334805237,0.3186506704312754,0.9994316666666667,0.999,0.8285,0.8505,False,-0.15037936295448162,300,2000,18.057581222057344
44,1.2,cross,-0.4687430217857983,-0.8413774652079359,-0.25438863221133284,0.998696395446685,51.190259099110165,-0.1279230112209192,2836.5324106874473,-2.0156913165409076,0.2107218939558792,0.984655,0.9805,0.877,0.884,False,0.0,300,2000,11.41027444601059
45,1.2,cross,-2.275316292403562,-3.3455673395189707,-1.8265433516661989,0.7831203984329256,48.532237262494945,0.05089142200699587,2906.478496539628,-4.068285300984553,0.2906507716483225,0.998575,0.9965,0.8275,0.856,False,-0.9718763085074897,300,2000,17.902860208352408
46,1.2,cross,-3.037265192111402,-3.232614612582751,-2.4315372988782493,1.0004220173240992,57.49905641772327,-0.053513296476650804,2608.390261550931,-3.9339617912571234,0.25882553818508897,0.9967333333333334,0.998,0.8525,0.865,False,0.0,300,2000,18.616443439324698
