seed,gain,slope_net,slope_route1,acc_net,acc_route1,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7
42,0.8,0.0442374650869408,0.03883759249644373,0.859,0.8645,0.024428429635609986,0.03791035125568902,0.039422580143872274,0.03837158405720406,0.10531571584577545,0.17801475301353123,0.22098946043829726,0.3555471254916726,0.04644704575087383,0.04067304691532617,0.062053551983206674,0.0657129994600028,0.08099388626356648,0.13225997177696447,0.21903215291269534,0.3528273448265296
43,0.8,0.027984826914530067,0.03020807278749178,0.8805,0.885,0.06710771203806697,0.04995467581364031,0.07213297906750626,0.09040433396691676,0.09986756164813423,0.1594049558606433,0.2144604021967531,0.24666737930154314,0.026046109126849425,0.05524790449293762,0.09158756957366432,0.10654239747044292,0.1107796596772743,0.1653682227190247,0.1702678894682603,0.2741602473596757
44,0.8,0.029737221928812427,0.03257785512430039,0.8705,0.8725,0.04755204855431179,0.050030913180648624,0.09143219051384088,0.09710243041520282,0.10191777537487905,0.1423435423433258,0.181975774529666,0.2876453249581727,0.03778143470835264,0.05060132572499724,0.07165132464646046,0.08317596715481869,0.10786216660722424,0.1826485658080563,0.18380796371394909,0.2824712515025357
45,0.8,0.032916193091738474,0.0316955646138901,0.873,0.878,0.03433632720608053,0.04703888933193336,0.06760353580180298,0.08045321494944538,0.1370250030285701,0.1568923248201875,0.21024206575552978,0.2664086389851908,0.03514447647563687,0.04572496735629591,0.08455483712570003,0.0730275536913356,0.14570331118489294,0.1507702801927373,0.19489025199779966,0.2701843218562913
46,0.8,0.04089848948748474,0.04238230239552904,0.861,0.869,0.031854442420092756,0.050758718306603466,0.060858518252238716,0.04910109549230762,0.07761193333901233,0.1437025457843845,0.23379216945031506,0.35232057681823836,0.01208714044103709,0.036807322232055406,0.0715055800405433,0.06533233709891435,0.08870100118007952,0.15546514463307368,0.21859884102300597,0.3515026332140272
47,0.8,0.030167879765426675,0.030535885224676648,0.8815,0.8765,0.0645737721192164,0.057181945785005295,0.07375983623811247,0.06934305725624525,0.10325173428123283,0.14399365856255766,0.19392703973089617,0.293968955914654,0.06568462917640173,0.05213722571851756,0.06411589523035902,0.06821545776425753,0.11374929095124738,0.14823355220673817,0.21372077715581433,0.2741431716864342
48,0.8,0.043202365258196936,0.04584314316756489,0.861,0.8605,0.02200173842216408,0.05510255950146255,0.04028605285304399,0.05897958631401504,0.09927207095779601,0.11884353152969143,0.22802124729470077,0.3774932130005396,0.04115352113094373,0.011716596348970211,0.030562535239247592,0.06761570418515508,0.09849943208540751,0.14036839138077545,0.21670318854978995,0.3933806309518747
49,0.8,0.030059328997432473,0.032179073194118876,0.876,0.8765,0.04460147827509745,0.04529703041547307,0.09961921133814433,0.06494276562402856,0.1342583222029283,0.14347743484215508,0.20591869585046352,0.2618850613491609,0.02747110248214133,0.033805129040654566,0.07653277230859974,0.10946548531551505,0.13201245908496034,0.17671640590899143,0.1833544419860749,0.26064220376903624
50,0.8,0.0454005104476537,0.04626363982341952,0.861,0.8615,0.04122832186871881,0.005556915499337988,0.025825960261229623,0.07156251298340366,0.1026824580136643,0.1642118053157013,0.21938797676557628,0.3695440491655822,0.008119319493175011,0.02297221490691473,0.058936621956026704,0.0555992131468861,0.09682123823507367,0.162224165430843,0.23026659311042755,0.3650606335841807
51,0.8,0.030048562548587808,0.03171609038293217,0.8735,0.871,0.0567427274558891,0.05372709681870417,0.08775934894957751,0.09304851554628009,0.07188363261640186,0.15237594016660058,0.18700511433513517,0.29745762399560777,0.04778465826465002,0.040395627162284495,0.07045549062821212,0.11340813830135969,0.08762310278274793,0.15709021079250826,0.2080980963869737,0.27514467556016137
52,0.8,0.03517876503186766,0.038119046397450305,0.8435,0.849,0.03563935392935173,0.06807777334411426,0.06324903085053404,0.057039231088910736,0.12166948346630183,0.138421890842128,0.17829543990902513,0.3376077964293742,0.03466287668762253,0.055362264372357216,0.04802213650639127,0.053190477470548087,0.10326070021157667,0.16472451895023862,0.23208259679902402,0.3086944288561827
53,0.8,0.04919538075639779,0.047177531266882816,0.858,0.863,0.002738320344321163,0.012142525504502425,0.03678254909582921,0.07995889563901813,0.10633641437531176,0.14676799118450412,0.22547705883669394,0.3897962448977696,0.01758754846153438,0.02730516429740422,0.03525135435314408,0.06474240937152044,0.09384031964795965,0.14247895972898433,0.22989457373156277,0.3888996702963065
54,0.8,0.054277077858641026,0.05438264588727423,0.846,0.8495,0.009924571292494248,0.008682784450122343,0.02256705988810347,0.04575081668231264,0.09131370698342524,0.1340087786023367,0.26099677940353305,0.42675550256606304,0.01507070938451254,0.005667018193299813,0.009946167363586783,0.05681659783112509,0.09729928089268267,0.12894685014598406,0.24964302633203717,0.4366103497314554
55,0.8,0.04333981064174317,0.047612251566974434,0.8675,0.854,0.023110581011385026,0.033882841258592845,0.04146670399380781,0.08256157568812464,0.06283701232684956,0.1775501258415635,0.23346572662936274,0.34512543313575433,0.008534574784210968,0.025877166561566887,0.03529740236940469,0.06072463610522056,0.08068484881354682,0.19376042844430136,0.23631945129728477,0.3588014915005321
56,0.8,0.04507720848644313,0.04039155377958059,0.8605,0.8605,0.033722310026834124,0.019105304836069016,0.03399188828708403,0.05599565985481149,0.11383429257067951,0.1265305757424275,0.2675631338801923,0.34925683467807817,0.046193834112766695,0.027227879046182502,0.034377863747380076,0.08332560958408543,0.08628537140927665,0.1646434030630754,0.22349595033032907,0.3344500885830181
