g,v,a_bias,g_se,v_se,a_bias_se,nll,n,seed,gain,n_trials,secs,g_lo,g_hi
4.457278366312804,58.419925443033605,1.8746237548651705,0.34918467992357255,4.732147433085512,0.9060073450019904,140.98700737514207,1000,42,0.8,1000,286.5902462005615,3.7728763936626013,5.141680338963006
2.697536504602948,50.47009372214516,-1.184731441382865,0.2983734135137407,4.083010982903068,0.3640064627035656,139.50686685419936,1000,43,0.8,1000,238.67941808700562,2.112724614116016,3.2823483950898797
2.929636324554185,40.74939048428779,-1.5247444570216773,0.37410526920374715,3.0616086677508823,0.4510844956025468,175.97446727377118,1000,44,0.8,1000,270.0676600933075,2.196389996914841,3.6628826521935296
3.060229042371325,43.05595184688381,-0.5618905468904903,0.3360882450623481,3.197792729888345,0.332110246333788,168.66066478288414,1000,45,0.8,1000,244.60673594474792,2.401496082049123,3.7189620026935275
4.178894048512529,46.64764169598133,-4.0261413163286255,0.3835733464358052,3.6089579418551723,1.2001459645073431,172.72153766928358,1000,46,0.8,1000,262.368448972702,3.4270902894983504,4.930697807526707
2.889741012492816,51.736512269292525,-0.299431760498964,0.3161367460257443,4.167726876020903,0.31518835111203763,138.70965009539535,1000,47,0.8,1000,235.83186984062195,2.270112990282357,3.509369034703275
5.194313839533778,54.497628786100314,-3.4127237641293484,0.404989647646004,4.281995882904144,1.5678022551030815,160.9847694088181,1000,48,0.8,1000,213.70396375656128,4.40053413014761,5.988093548919945
2.9819909422075823,60.10686740762789,0.6552396036051629,0.2983763319264574,5.088691032792093,0.36897833777949196,119.37428933264275,1000,49,0.8,1000,195.69894313812256,2.397173331631726,3.5668085527834386
4.96222561149547,61.38736105341632,-6.252211200726129,0.3505845962418194,5.048433317032586,1.9219013682717319,139.9137000877738,1000,50,0.8,1000,211.84266805648804,4.275079802861504,5.6493714201294365
3.1116420004593417,47.048990646099355,-3.132090210642719,0.34255238721987635,3.7808244832589293,0.7673164034439305,154.54107345799946,1000,51,0.8,1000,203.7768919467926,2.440239321508384,3.7830446794102994
3.605144725338478,40.96798349779712,2.6565839287162185,0.4015173965051212,3.0327244504251554,0.7810395350817753,190.06104442244185,1000,52,0.8,1000,204.446870803833,2.81817062818844,4.3921188224885155
5.07453011941453,65.03770008831523,-9.399878457859703,0.3490759031037492,5.469966605785562,2.6464992597049215,133.5383309920805,1000,53,0.8,1000,211.88439393043518,4.390341349331182,5.758718889497878
6.400841509564904,54.651871813491624,-13.963814442903121,0.4049460348349474,4.073848781056004,4.948518375792707,175.13821475027888,1000,54,0.8,1000,251.46784901618958,5.607147281288407,7.1945357378414005
4.2619071851236425,55.59636544698127,0.0006520751230107898,0.33285292182037285,4.373471126645425,0.7024179878909318,144.073352299542,1000,55,0.8,1000,218.6474118232727,3.6095154583557116,4.914298911891573
4.6643711117383315,54.98940244827599,2.0723325658329554,0.3475407839339017,4.296583242400841,1.0111839285212072,152.79018290373236,1000,56,0.8,1000,205.8466091156006,3.9831911752278844,5.345551048248779
4.228132677573086,51.97611723637815,-1.0731229574368384,0.35531146360948246,4.033578181997302,0.7321030532565906,153.96425043314562,1000,57,0.8,1000,210.59681487083435,3.5317222088985005,4.924543146247672
2.555098894393285,32.95782817905614,-0.6599442735745743,0.38549192866010384,2.214455293296084,0.24621914401577746,208.45713840225056,1000,58,0.8,1000,195.25697302818298,1.7995347142194813,3.3106630745670884
