g,v,a_bias,g_se,v_se,a_bias_se,nll,n,seed,gain,n_trials,secs,g_lo,g_hi,g_mean,g_sd,g_hdi_lo,g_hdi_hi,g_rhat,g_ess,v_mean,v_sd,v_hdi_lo,v_hdi_hi,v_rhat,v_ess,a_bias_mean,a_bias_sd,a_bias_hdi_lo,a_bias_hdi_hi,a_bias_rhat,a_bias_ess,p_g_gt0,secs_b,g_mle_minus_post,g_diff_in_se
4.5524046545077,56.1751872877018,1.4349203750261894,0.244089232087373,3.128130257712156,0.640718814837389,296.02821362290035,2000,42,0.8,2000,153.61068201065063,4.073989759616449,5.0308195493989505,4.5458478927612305,0.2361572235822677,4.11397647857666,5.002986431121826,1.0015588998794556,2448.7282003937103,56.04552459716797,3.047917127609253,50.58673477172851,62.126808166503906,1.0008341073989868,2727.2411975765544,1.0648787021636963,0.5215588212013245,0.088532768189907,2.0500195026397705,1.0001444816589355,2939.2604494491948,1.0,11.563130855560305,0.006556761746469242,0.026862150740521874
2.7175136131616706,50.53503221822095,-1.3309375108022854,0.2143128444716847,2.818435066576223,0.264208909818191,278.57232751864,2000,43,0.8,2000,146.19200921058655,2.2974604379971684,3.137566788326173,2.7131593227386475,0.2171327024698257,2.279529333114624,3.0903480052948,0.9994009137153624,1938.57743921121,50.3785285949707,2.774133682250977,45.27660369873047,55.53548431396485,0.9998574256896972,2027.6442838684225,-1.284456729888916,0.2547555863857269,-1.7860506772994995,-0.8349782824516296,0.99989116191864,2083.5093859677245,1.0,8.816338062286377,0.004354290423023155,0.020317449631902254
2.888292157988605,41.70014056441427,-1.3921707114051851,0.2501144658441001,2.169917218235524,0.2842316964748089,343.85340583020275,2000,44,0.8,2000,138.69594478607178,2.3980678049341693,3.378516511043041,2.8628814220428467,0.2410140633583068,2.42006778717041,3.3135321140289307,0.9994617104530334,2060.4297691014617,41.534385681152344,2.079997301101685,37.69026947021485,45.44648361206055,1.001076340675354,2423.285013018565,-1.3278627395629885,0.2604710459709167,-1.7981387376785278,-0.8462022542953491,0.999764919281006,2101.1869339086493,1.0,11.276094913482666,0.02541073594575849,0.10159642650016638
2.9515139477907972,45.563423877410806,-0.3934962155192502,0.2226398157850569,2.3968457711043,0.2156418303910393,317.74742945079583,2000,45,0.8,2000,138.52020406723022,2.5151399088520856,3.387887986729509,2.985170364379883,0.222018614411354,2.5628058910369873,3.3876547813415527,1.0003132820129397,2782.2554937933214,45.74651336669922,2.3650107383728027,41.410770416259766,50.35970687866211,1.0007879734039309,2709.69232032475,-0.3855710923671722,0.2124284505844116,-0.7997762560844421,-0.0036346113774925,0.9996353983879088,3058.3857004160805,1.0,9.355122327804564,-0.03365641658908558,-0.15116980074030642
4.45820552178619,47.25471225863253,-4.803203050673273,0.2730083129574142,2.554003197164277,1.003297001163322,350.7981894164828,2000,46,0.8,2000,154.15593600273132,3.923109228389658,4.993301815182722,4.039428234100342,0.2349712252616882,3.6216962337493896,4.492473125457764,1.001841425895691,1981.7952003358191,44.31475067138672,2.2657651901245117,39.99940872192383,48.52406311035156,1.0005943775177002,2017.3353115151413,-3.125720262527466,0.5114913582801819,-4.13210391998291,-2.2025187015533447,1.0013874769210815,1843.3891780997617,1.0,11.55826187133789,0.418777287685848,1.5339360298203517
3.043563017960336,49.38765671883658,-0.1795612976326281,0.2266399668200633,2.69930505741492,0.2313450932213729,294.9918997692446,2000,47,0.8,2000,145.15195512771606,2.599348682993012,3.4877773529276603,3.074645519256592,0.2328865528106689,2.610487461090088,3.489691734313965,1.0006816387176514,2881.3509468047746,49.611968994140625,2.6680173873901367,44.89863204956055,54.85838317871094,0.9993854761123656,3329.2975911198732,-0.1682398468255996,0.2321885824203491,-0.6282152533531189,0.2532857656478882,0.9996507167816162,2764.7846052960213,1.0,9.52547574043274,-0.03108250129625567,-0.1371448369516091
4.764280563523519,51.994857223081446,-2.4990124521879205,0.2741239098618402,2.826114684927411,0.7890722725880764,324.14374349636677,2000,48,0.8,2000,143.7391710281372,4.226997700194312,5.301563426852725,4.667418003082275,0.2636424303054809,4.2023797035217285,5.188475608825684,1.0002403259277344,2897.1849503035037,51.1439094543457,2.727025032043457,46.097801208496094,56.32255172729492,0.9992218017578124,2928.1854905227556,-1.6916418075561523,0.5283414721488953,-2.691056251525879,-0.6946853399276733,1.00030517578125,2983.5620934338735,1.0,10.720629692077637,0.09686256044124342,0.3533531988875491
2.8051299909967637,53.55400080110732,0.3378117977100004,0.2069654851523221,2.9871329594567593,0.2174704565801507,264.8880335194693,2000,49,0.8,2000,126.96253895759584,2.3994776400982123,3.210782341895315,2.8310418128967285,0.2074888050556183,2.4132518768310547,3.198244571685791,0.9999305605888368,3173.1128319273757,53.73980712890625,2.9871580600738525,48.38901901245117,59.55593490600586,0.9996052980422974,2978.277271186087,0.3291480243206024,0.21510611474514,-0.0702064037322998,0.7247347831726074,1.0007258653640747,3157.8642785220445,1.0,9.488764762878418,-0.02591182189996477,-0.12519875901479047
4.754245863862909,50.67576099831186,-4.031281615584441,0.267225923251858,2.729492864179954,0.9577553519441272,328.8085727041391,2000,50,0.8,2000,144.6957230567932,4.230483054289268,5.278008673436551,4.489443302154541,0.2370170205831527,4.061552047729492,4.947902202606201,1.0014601945877075,2453.7901693713807,48.568878173828125,2.4843032360076904,44.08174514770508,53.2918586730957,1.0001064538955688,2788.4032783639104,-2.6000664234161377,0.5193266868591309,-3.5582523345947266,-1.608607530593872,1.000088095664978,2451.4836122554166,1.0,11.464723348617554,0.26480256170836824,0.9909314129632335
3.1204726614578706,48.230982914227766,-3.5189562468521967,0.2436820753901723,2.7506445965060387,0.5941340125096102,305.1687554433522,2000,51,0.8,2000,148.00676202774048,2.642855793693133,3.5980895292226083,2.8630170822143555,0.2087417691946029,2.437304735183716,3.223789691925049,1.0008147954940796,1268.147222175506,46.09111785888672,2.4790096282958984,41.568397521972656,50.69886779785156,1.002221941947937,1390.1497739487936,-2.860792398452759,0.39732226729393,-3.564560651779175,-2.092778205871582,1.0015259981155396,1057.926092632927,1.0,13.43834376335144,0.25745557924351514,1.0565224333028571
