seed,gain,kind,rep,g_true,v_true,a_bias_true,g,g_se,g_lo,g_hi,v,a_bias,nll,n_trials,sign_ok,covered,secs
42,0.8,fitted,0,4.5524046545077,56.1751872877018,1.4349203750261894,4.590618761915518,0.2537958650013666,4.09317886651284,5.0880586573181965,50.318173169795074,1.6498781338869548,332.49278390602444,2000,True,True,53.838616132736206
42,0.8,fitted,1,4.5524046545077,56.1751872877018,1.4349203750261894,4.400612039417191,0.24726865295530814,3.915965479624787,4.885258599209595,56.069582947255206,1.3474616643628028,291.1632493878543,2000,True,True,55.261927366256714
42,0.8,theory,0,4.3,56.1751872877018,1.4349203750261894,4.286851980428097,0.23278755108800916,3.8305883802955996,4.743115580560596,60.029098494409695,1.5301323778677633,265.8059601091262,2000,True,True,49.89617609977722
42,0.8,theory,1,4.3,56.1751872877018,1.4349203750261894,4.483978640958412,0.25278996657243774,3.9885103064764342,4.97944697544039,55.72911096437001,1.675597949772476,290.4481140056009,2000,True,True,57.42480778694153
42,1.0,fitted,0,0.7470956083983521,51.79531201731543,-0.6860672851491117,0.7578244411883693,0.17378813439231286,0.41719969777943616,1.0984491845973026,53.24941621926047,-0.6554583956756078,239.24923742628337,2000,True,True,44.69078493118286
42,1.0,fitted,1,0.7470956083983521,51.79531201731543,-0.6860672851491117,0.6489241383885197,0.17318968591559247,0.30947235399395845,0.988375922783081,48.97356308501521,-0.5611773470623717,260.51485277044935,2000,True,True,45.179861068725586
42,1.0,theory,0,-1.6,51.79531201731543,-0.6860672851491117,-1.403312577462818,0.18276948624121586,-1.761540770495601,-1.0450843844300348,49.50513372451016,-0.6497350184349554,270.42318108004827,2000,True,True,46.790807008743286
42,1.0,theory,1,-1.6,51.79531201731543,-0.6860672851491117,-1.6049220311947736,0.1923382138098561,-1.9819049302620915,-1.2279391321274558,48.03827717345639,-0.6531964256737784,279.31294838494296,2000,True,True,48.536195039749146
42,1.2,fitted,0,-2.0414307627645902,50.16615745411869,-0.3074584554554387,-1.7400614092480464,0.20016601798659084,-2.132386804501764,-1.3477360139943284,47.00500826750387,-0.34320187478015857,286.6854460910961,2000,True,True,51.054025173187256
42,1.2,fitted,1,-2.0414307627645902,50.16615745411869,-0.3074584554554387,-2.262485003335187,0.20937828520163687,-2.6728664423303954,-1.8521035643399788,48.96816588029551,-0.33988499648288517,285.5399501996267,2000,True,True,50.30128288269043
42,1.2,theory,0,-6.2,50.16615745411869,-0.3074584554554387,-6.341831816401664,0.29666067171786625,-6.923286732968681,-5.760376899834646,50.867322564808795,-0.3212132418302564,382.8227144868721,2000,True,True,54.339706897735596
42,1.2,theory,1,-6.2,50.16615745411869,-0.3074584554554387,-5.982912329799289,0.28475960519620813,-6.541041155983857,-5.424783503614721,49.195449407186636,-0.303692862939423,386.3729117895366,2000,True,True,58.13214683532715
46,0.8,fitted,0,4.45820552178619,47.25471225863253,-4.803203050673273,5.136719862706086,0.2677389660514663,4.611951489245213,5.66148823616696,56.80107848603215,-8.88951190183503,309.01195758289043,2000,True,False,65.72965002059937
46,0.8,fitted,1,4.45820552178619,47.25471225863253,-4.803203050673273,4.679631684472682,0.27593668083727946,4.138795790031614,5.220467578913749,48.22577352024905,-6.001605017393948,348.12869677277376,2000,True,True,58.40561819076538
46,0.8,theory,0,4.3,47.25471225863253,-4.803203050673273,3.9758229822473043,0.28367458506371124,3.4198207955224302,4.531825168972178,42.471855434899055,-3.658017587196044,372.4788572185471,2000,True,True,62.582725048065186
46,0.8,theory,1,4.3,47.25471225863253,-4.803203050673273,4.334675368639105,0.2723278500904087,3.8009127824619036,4.868437954816306,48.599127059585115,-5.015758175940903,334.1211242846033,2000,True,True,57.754680156707764
46,1.0,fitted,0,-0.2649253725491629,42.44533137688952,-0.41701048091504,-0.3827193797711806,0.1856136054101953,-0.7465220463751634,-0.018916713167197785,46.511044140597704,-0.3267990429645571,272.7132771952518,2000,True,True,45.21875834465027
46,1.0,fitted,1,-0.2649253725491629,42.44533137688952,-0.41701048091504,-0.24034413552492717,0.19498769876213312,-0.6225200250987081,0.14183175404885373,42.08951043890445,-0.46826320043675584,302.37157668785676,2000,True,True,46.72050094604492
46,1.0,theory,0,-1.6,42.44533137688952,-0.41701048091504,-1.758277465041337,0.19941307591041887,-2.149127093825758,-1.367427836256916,43.65174676574188,-0.4160575128365108,309.86322475616646,2000,True,True,69.81794309616089
46,1.0,theory,1,-1.6,42.44533137688952,-0.41701048091504,-1.7002652564021326,0.21550604988948543,-2.122657114185524,-1.2778733986187412,40.441342033341456,-0.4404685293367645,333.26850832862766,2000,True,True,85.23314189910889
46,1.2,fitted,0,-3.933961823703427,45.245602372478295,-0.1254836199952124,-3.9624453118238985,0.23475898962284691,-4.4225729314846784,-3.5023176921631185,48.159090578877056,-0.1195313229681811,339.4379701865158,2000,True,True,73.3034119606018
46,1.2,fitted,1,-3.933961823703427,45.245602372478295,-0.1254836199952124,-3.889143206462855,0.24427006260890033,-4.3679125291763,-3.4103738837494104,44.968426925020346,-0.13644961901593894,359.6738542945071,2000,True,True,77.48194289207458
46,1.2,theory,0,-6.2,45.245602372478295,-0.1254836199952124,-5.862942950241035,0.30898787206833517,-6.468559179494972,-5.2573267209870975,44.259208206031765,-0.11513642474590302,430.0145100401246,2000,True,True,80.40824174880981
