g,v,a_bias,g_se,v_se,a_bias_se,nll,n,seed,gain,n_trials,secs,g_lo,g_hi
4.5524046545077,56.1751872877018,1.4349203750261894,0.24408923208737307,3.128130257712156,0.640718814837389,296.02821362290035,2000,42,0.8,2000,153.61068201065063,4.073989759616449,5.0308195493989505
2.7175136131616706,50.53503221822095,-1.3309375108022854,0.21431284447168472,2.818435066576223,0.264208909818191,278.57232751864,2000,43,0.8,2000,146.19200921058655,2.2974604379971684,3.137566788326173
2.888292157988605,41.700140564414276,-1.3921707114051851,0.2501144658441001,2.169917218235524,0.2842316964748089,343.85340583020275,2000,44,0.8,2000,138.69594478607178,2.3980678049341693,3.378516511043041
2.9515139477907972,45.563423877410806,-0.39349621551925024,0.22263981578505695,2.3968457711043,0.2156418303910393,317.74742945079583,2000,45,0.8,2000,138.52020406723022,2.5151399088520856,3.387887986729509
4.45820552178619,47.25471225863253,-4.803203050673273,0.2730083129574142,2.554003197164277,1.003297001163322,350.7981894164828,2000,46,0.8,2000,154.15593600273132,3.923109228389658,4.993301815182722
3.043563017960336,49.38765671883658,-0.17956129763262813,0.2266399668200633,2.69930505741492,0.23134509322137292,294.9918997692446,2000,47,0.8,2000,145.15195512771606,2.599348682993012,3.4877773529276603
4.764280563523519,51.994857223081446,-2.4990124521879205,0.2741239098618402,2.826114684927411,0.7890722725880764,324.14374349636677,2000,48,0.8,2000,143.7391710281372,4.226997700194312,5.301563426852725
2.8051299909967637,53.55400080110732,0.33781179771000047,0.20696548515232213,2.9871329594567593,0.21747045658015077,264.8880335194693,2000,49,0.8,2000,126.96253895759583,2.3994776400982123,3.210782341895315
4.754245863862909,50.67576099831186,-4.031281615584441,0.267225923251858,2.729492864179954,0.9577553519441272,328.8085727041391,2000,50,0.8,2000,144.6957230567932,4.230483054289268,5.278008673436551
3.1204726614578706,48.230982914227766,-3.5189562468521967,0.24368207539017236,2.7506445965060387,0.5941340125096102,305.1687554433522,2000,51,0.8,2000,148.00676202774048,2.642855793693133,3.5980895292226083
3.8454500261484155,42.455080232670056,2.9190850028976785,0.2763204381182649,2.177151440223943,0.6259209895408068,371.44577625957504,2000,52,0.8,2000,143.82069396972656,3.3038619674366165,4.387038084860214
4.9417063996370825,55.941085634445514,-5.645593553391204,0.25803690022056314,3.1215666940540134,1.2303954455811827,306.89757510637634,2000,53,0.8,2000,148.27146005630493,4.435954075204779,5.447458724069386
6.034096160584777,57.10072578401313,-12.517581945009644,0.2795609189716632,3.1029851395172696,2.9208779757881587,325.80222320635414,2000,54,0.8,2000,153.16470980644226,5.486156759400318,6.582035561769237
4.418714357323743,55.29959219526413,-0.1752421746031837,0.24177105874278945,3.024040889965842,0.5444391561424178,292.4579883235342,2000,55,0.8,2000,148.6369652748108,3.9448430821878753,4.8925856324596095
4.854843563787745,54.55029358346224,3.2689610252520778,0.2505107306114182,2.9640264617866565,0.9104958989344576,310.73290418593666,2000,56,0.8,2000,152.87220406532288,4.363842531789365,5.345844595786125
3.837363579992278,47.09307677281966,-0.3078471123318368,0.2428812645893222,2.481457875372981,0.3578090216424707,329.44882039468894,2000,57,0.8,2000,140.19903779029846,3.3613163013972067,4.31341085858735
2.5051381060898525,32.88781854464369,-0.5766262119158346,0.2637508820331714,1.557223117235172,0.15973084986680783,422.24196731148317,2000,58,0.8,2000,129.283921957016,1.9881863773048367,3.022089834874868
4.584781019675774,55.89220213295238,-3.0978193549020383,0.250689216180943,3.145894455535751,0.7955456283556172,298.41049245365053,2000,59,0.8,2000,137.87593507766724,4.093430155961126,5.076131883390422
4.429513750141033,52.43847257189526,-4.548568602880902,0.2501316887485385,2.9181821219639295,0.9364528890161657,315.4983744550079,2000,60,0.8,2000,140.69054174423218,3.939255640193897,4.919771860088169
3.7683376585616832,52.91005356798026,2.2865670042003705,0.23921049584612059,2.8553365331687273,0.5142597561861969,291.48463979847,2000,61,0.8,2000,140.57497906684875,3.299485086703287,4.2371902304200795
0.7470956083983521,51.79531201731543,-0.6860672851491117,0.17682173231300843,3.0118178991527955,0.099399395478591,246.01353073298003,2000,42,1.0,2000,123.15099906921387,0.40052501306485555,1.0936662037318485
-0.8938642336583872,38.89095204485501,-0.08927562409924583,0.21302551912955425,1.9470146871980447,0.03583715846800756,328.68138581013085,2000,43,1.0,2000,125.78992199897766,-1.3113942511523136,-0.47633421616446087
0.24456925542444732,45.91119610233851,-0.2850642583838402,0.18602778754546093,2.4888736738509682,0.06220329686035727,273.06025386838087,2000,44,1.0,2000,128.73510098457336,-0.12004520816465611,0.6091837190135507
-0.5649018386962753,42.484226196179605,-0.16286156038118474,0.19399489997502092,2.187277281719438,0.04311571230119437,294.2892933804867,2000,45,1.0,2000,124.27101588249207,-0.9451318426473163,-0.1846718347452343
-0.26492537254916293,42.44533137688952,-0.41701048091504006,0.18100827950618031,2.253276014706248,0.05636726667511409,299.86601550644576,2000,46,1.0,2000,121.49712586402893,-0.6197016003812763,0.0898508552829505
-0.26882031348029334,46.100495773256014,-0.11413388069264443,0.1823610627870089,2.460060053808926,0.04841693828013014,267.636396339865,2000,47,1.0,2000,135.50374007225037,-0.6262479965428307,0.08860736958224408
0.608942473590208,45.20134254630123,-0.2973849223635417,0.19368082842926873,2.427629631665366,0.07127002029632569,279.5669767976027,2000,48,1.0,2000,122.85926604270935,0.2293280498688413,0.9885568973115748
-0.7847047556488036,47.002919531504496,0.020365977643056164,0.1854179582384112,2.5398299115429843,0.0404146842699591,269.17213845131766,2000,49,1.0,2000,128.6890299320221,-1.1481239537960897,-0.42128555750151764
0.5992663354198108,49.80742013133501,-0.4384217483693253,0.18556388428822834,2.7789694093436177,0.07985172528034926,249.73112867306105,2000,50,1.0,2000,125.48600196838379,0.23556112221488323,0.9629715486247383
-0.8969935672376665,47.43769212585345,-0.5216534007457609,0.1831872563976371,2.6329098950790617,0.05584261061851417,270.5708859818666,2000,51,1.0,2000,132.8067271709442,-1.2560405897770353,-0.5379465446982978
0.7256809513295339,45.2380933456691,-0.053232415831081084,0.19602098958125028,2.4039359736289385,0.06977901554187751,278.3497006933841,2000,52,1.0,2000,120.65714502334595,0.34147981175028336,1.1098820909087845
1.476765459601938,55.74956197005544,-0.8914212565836935,0.17403757678631368,3.3461895297398923,0.1406335276997105,234.8689909175481,2000,53,1.0,2000,135.72680187225342,1.135651809100763,1.8178791101031129
1.1931881976104288,50.70545366301509,-0.3544269194625842,0.17875886181407555,2.8907113721026767,0.0966200900782222,254.56271640080112,2000,54,1.0,2000,130.28995823860168,0.8428208284548407,1.5435555667660168
-0.05877478177618323,44.271413024917436,-0.09083422052169363,0.19176379621434053,2.3316435825543658,0.05072339913774165,280.8049438813431,2000,55,1.0,2000,129.26785612106323,-0.43463182235629066,0.3170822588039242
1.0139298217946748,41.75191921124381,0.6850028626133308,0.19018522203317045,2.1803886416673017,0.10817519987712067,310.16729642579446,2000,56,1.0,2000,116.16514086723328,0.6411667866096608,1.386692856979689
0.2581580480312498,43.04475479780429,0.13883766808499728,0.1876486420629481,2.2290817036161745,0.057941505506883074,289.4301656109013,2000,57,1.0,2000,117.39868021011353,-0.10963329041212844,0.6259493864746281
-0.663779488563923,31.633546763322993,0.03199281859232533,0.2367186548655282,1.4449634086344356,0.03503831298655829,399.0480400285046,2000,58,1.0,2000,117.32467985153198,-1.1277480521003582,-0.1998109250274877
0.3799443601294362,44.45966337102963,-0.4085657562597462,0.18680950394223184,2.373665419550583,0.06979927005387992,281.2320554950596,2000,59,1.0,2000,116.9204158782959,0.013797732402661855,0.7460909878562105
0.9294434361710922,46.50788523735398,-0.5862719643008358,0.19091751070008606,2.561346239132103,0.0965730836228796,275.5094739345176,2000,60,1.0,2000,118.0453519821167,0.5552451151989235,1.3036417571432608
0.9557544952903057,48.416186104417335,0.5286132086380794,0.18285617555929945,2.6752596456325057,0.09828874768940049,264.56726204029985,2000,61,1.0,2000,119.92462301254272,0.5973563911940787,1.3141525993865326
-2.0414307627645902,50.16615745411869,-0.30745845545543876,0.20000111848436555,2.812213513100373,0.03636352545715075,273.3484039167645,2000,42,1.2,2000,122.32453608512878,-2.433432954993947,-1.6494285705352338
-5.166209409270405,45.75993174994106,-0.07743752422850045,0.31865066699345307,2.433719683906655,0.01611961232108304,391.9197221873234,2000,43,1.2,2000,134.12585926055908,-5.7907647165775735,-4.541654101963237
-2.0156913363889566,47.00016040577938,-0.18978881497379932,0.21072189795924598,2.5685385741028877,0.03086144658525226,290.88460197919517,2000,44,1.2,2000,123.92437314987183,-2.428706256389079,-1.6026764163888345
-4.068285444045607,40.93882907922526,-0.012380865450296276,0.29065078013126355,2.16183108107562,0.017562090194753643,398.7933409842959,2000,45,1.2,2000,120.17264175415039,-4.637960973102883,-3.4986099149883305
-3.933961823703427,45.245602372478295,-0.1254836199952124,0.2588255325868727,2.4033654848716974,0.02025408312401261,351.6429778335917,2000,46,1.2,2000,128.4646987915039,-4.441259867573697,-3.4266637798331563
-3.4365502072289336,46.063461079698484,-0.036675668184845855,0.24622445552378835,2.4802531735015774,0.020851721242839457,333.90119059389417,2000,47,1.2,2000,125.6737608909607,-3.919150140055559,-2.9539502744023083
-2.4312637177511016,48.276243977470926,-0.10179897826357603,0.21979279962354029,2.708020976765649,0.02670227001441168,297.33057029414385,2000,48,1.2,2000,125.45311379432678,-2.8620576050132405,-2.0004698304889628
-4.301881513595134,46.962969719854364,0.01612360674396598,0.2761930859474104,2.543003235445178,0.0181274268104392,356.68242622331434,2000,49,1.2,2000,137.4535620212555,-4.843219962052059,-3.7605430651382097
-2.163488796923227,44.47169867079817,-0.11473705559420418,0.21996859448040812,2.3797087155934635,0.027690982689445226,312.19198624750373,2000,50,1.2,2000,139.10709404945374,-2.594627242104827,-1.7323503517416272
-4.02619194958972,42.894590532672865,-0.2051914285638749,0.27553667856886405,2.3053816735163,0.021481081473336782,380.33353446509796,2000,51,1.2,2000,140.53998613357544,-4.566243839584693,-3.486140059594746
-2.1956787809635276,41.13395935929955,-0.07413501970596718,0.2233994218542764,2.1529374018336944,0.025849376571339226,333.8009949691594,2000,52,1.2,2000,139.61304116249084,-2.6335416477979092,-1.757815914129146
-1.468361301214884,42.966689650761055,-0.19328792161443026,0.20246491805704891,2.273217953831999,0.033812345995987425,308.4753350280041,2000,53,1.2,2000,137.69985103607178,-1.8651925406066998,-1.071530061823068
-1.519270085462874,41.023584221890445,-0.08027835998312899,0.20567782760896258,2.1062374237340316,0.03060453385829806,322.9049420925563,2000,54,1.2,2000,134.44996619224548,-1.9223986275764406,-1.1161415433493074
-3.0402319230666928,43.76517198923182,-0.05679269159084912,0.24362661960953935,2.2768274436242653,0.02214388969559861,332.375627950164,2000,55,1.2,2000,127.7091178894043,-3.51774009750139,-2.5627237486319956
-2.436291561018986,36.426538119220176,0.19184522368276788,0.2615587654458665,1.8205288720618706,0.02645107421293377,390.75876155103583,2000,56,1.2,2000,121.43635416030884,-2.9489467412928843,-1.9236363807450878
-3.1323929244058264,40.32529057290156,-0.005889182773681792,0.2596150348212425,2.0826226214338304,0.02067217737377802,368.8983517605425,2000,57,1.2,2000,115.63914608955383,-3.6412383926554615,-2.6235474561561913
-2.9911560585846115,33.647429152319695,-0.016052802839535696,0.2862230874056777,1.687009072421565,0.01941865631858674,438.9185098979672,2000,58,1.2,2000,119.84584593772888,-3.5521533098997398,-2.4301588072694833
-2.827829844181799,40.68432252001612,-0.16124120563589558,0.24640861943919853,2.1255095493549767,0.02367582514388204,357.5403721235233,2000,59,1.2,2000,112.13350105285645,-3.3107907382826283,-2.34486895008097
-1.9421519010839907,39.494473181720004,-0.20043884887456967,0.23386176453613944,2.060320364109215,0.02965265660075102,346.633752864855,2000,60,1.2,2000,108.1103937625885,-2.4005209595748243,-1.4837828425931574
-0.927559077930511,38.27797098587702,0.3309013383371205,0.20939632515931228,1.8814873949363995,0.044501013556240344,331.8910579055122,2000,61,1.2,2000,97.76517915725708,-1.337975875242763,-0.5171422806182588
