gain,s_net,s_sim,s_pernet,acc_net,acc_sim
0.8,0.0391732580670018,0.040893618977239976,0.03922314163816748,0.865875,0.8652
1.0,0.002138929304013984,0.002422801879778257,0.0019199831185085744,0.887275,0.887825
1.2,-0.026052082773491355,-0.030781505941823613,-0.03056445430425394,0.86895,0.869225
