param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.086,0.037,0.017,0.151,0.001,0.001,1950.0,2219.0,1.0,8,0.0,1.0,1000
a,1.0,0.981,0.051,0.885,1.072,0.001,0.001,1285.0,1584.0,1.0,8,0.0,1.0,1000
z,0.5,0.482,0.011,0.462,0.504,0.0,0.0,1767.0,1979.0,1.0,8,0.0,1.0,1000
g,0.0,0.196,0.287,-0.279,0.76,0.008,0.005,1297.0,1518.0,1.0,8,0.0,1.0,1000
t,0.1,0.1,0.014,0.074,0.125,0.0,0.0,1367.0,1948.0,1.0,8,0.0,1.0,1000
