param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.013,0.041,-0.094,0.062,0.001,0.001,1863.0,2153.0,1.0,4,-0.5,1.0,1000
a,1.0,0.875,0.049,0.792,0.959,0.001,0.001,1249.0,1871.0,1.0,4,-0.5,1.0,1000
z,0.5,0.501,0.011,0.479,0.521,0.0,0.0,1591.0,2010.0,1.0,4,-0.5,1.0,1000
g,-0.5,0.265,0.373,-0.339,0.929,0.011,0.005,1247.0,1684.0,1.0,4,-0.5,1.0,1000
t,0.1,0.132,0.012,0.112,0.154,0.0,0.0,1523.0,2079.0,1.0,4,-0.5,1.0,1000
