param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.019,0.046,-0.107,0.066,0.001,0.001,2097.0,2314.0,1.0,14,0.5,1.5,1000
a,1.5,2.136,0.064,2.008,2.247,0.002,0.002,1840.0,1387.0,1.0,14,0.5,1.5,1000
z,0.5,0.506,0.011,0.486,0.526,0.0,0.0,2081.0,2126.0,1.0,14,0.5,1.5,1000
g,0.5,-0.698,0.039,-0.771,-0.626,0.001,0.001,1873.0,1511.0,1.0,14,0.5,1.5,1000
t,0.1,0.014,0.011,0.001,0.035,0.0,0.0,1679.0,1392.0,1.0,14,0.5,1.5,1000
