param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.02,0.018,-0.013,0.054,0.0,0.0,1851.0,2293.0,1.0,17,1.0,1.0,3700
a,1.0,1.156,0.032,1.094,1.213,0.001,0.001,1271.0,1448.0,1.0,17,1.0,1.0,3700
z,0.5,0.494,0.006,0.483,0.505,0.0,0.0,1786.0,2181.0,1.0,17,1.0,1.0,3700
g,1.0,-0.043,0.103,-0.221,0.159,0.003,0.002,1297.0,1460.0,1.0,17,1.0,1.0,3700
t,0.1,0.07,0.01,0.052,0.089,0.0,0.0,1430.0,1788.0,1.0,17,1.0,1.0,3700
