param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.023,0.041,-0.1,0.054,0.001,0.001,1369.0,1510.0,1.0,2,-1.0,1.5,1000
a,1.5,1.111,0.084,0.982,1.317,0.003,0.004,866.0,629.0,1.01,2,-1.0,1.5,1000
z,0.5,0.511,0.011,0.49,0.531,0.0,0.0,1460.0,1659.0,1.01,2,-1.0,1.5,1000
g,-1.0,-0.354,0.26,-0.999,0.004,0.009,0.009,907.0,592.0,1.01,2,-1.0,1.5,1000
t,0.1,0.215,0.022,0.17,0.254,0.001,0.001,960.0,666.0,1.0,2,-1.0,1.5,1000
