param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.005,0.02,-0.042,0.03,0.0,0.0,1557.0,2368.0,1.0,3,-1.0,1.5,3700
a,1.5,1.173,0.047,1.103,1.241,0.004,0.013,523.0,185.0,1.01,3,-1.0,1.5,3700
z,0.5,0.502,0.005,0.492,0.512,0.0,0.0,1678.0,2173.0,1.0,3,-1.0,1.5,3700
g,-1.0,-0.399,0.118,-0.606,-0.217,0.009,0.022,506.0,185.0,1.01,3,-1.0,1.5,3700
t,0.1,0.172,0.012,0.154,0.192,0.001,0.002,547.0,183.0,1.01,3,-1.0,1.5,3700
