param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.038,0.034,-0.022,0.106,0.001,0.001,1981.0,2180.0,1.0,16,1.0,1.0,1000
a,1.0,1.15,0.068,1.021,1.288,0.002,0.002,953.0,1174.0,1.0,16,1.0,1.0,1000
z,0.5,0.493,0.011,0.472,0.514,0.0,0.0,1904.0,2146.0,1.0,16,1.0,1.0,1000
g,1.0,-0.062,0.232,-0.477,0.4,0.007,0.007,1010.0,1134.0,1.0,16,1.0,1.0,1000
t,0.1,0.094,0.02,0.054,0.131,0.001,0.0,1004.0,1215.0,1.0,16,1.0,1.0,1000
