param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.042,0.032,-0.013,0.103,0.001,0.001,1686.0,1932.0,1.0,16,1.0,1.0,1000
a,1.0,1.138,0.083,0.989,1.276,0.003,0.002,847.0,939.0,1.0,16,1.0,1.0,1000
z,0.5,0.489,0.012,0.467,0.51,0.0,0.0,1643.0,1719.0,1.0,16,1.0,1.0,1000
g,1.0,0.279,0.313,-0.202,0.899,0.011,0.006,860.0,1161.0,1.0,16,1.0,1.0,1000
t,0.1,0.087,0.025,0.041,0.132,0.001,0.001,881.0,767.0,1.01,16,1.0,1.0,1000
