param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.031,0.018,-0.0,0.065,0.0,0.0,1597.0,1692.0,1.0,13,0.5,1.0,3700
a,1.0,1.065,0.039,0.987,1.135,0.001,0.001,1208.0,1293.0,1.0,13,0.5,1.0,3700
z,0.5,0.498,0.006,0.486,0.509,0.0,0.0,1509.0,2093.0,1.0,13,0.5,1.0,3700
g,0.5,0.187,0.18,-0.115,0.539,0.005,0.004,1225.0,1436.0,1.0,13,0.5,1.0,3700
t,0.1,0.089,0.011,0.069,0.11,0.0,0.0,1275.0,1676.0,1.0,13,0.5,1.0,3700
