param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.019,0.039,-0.091,0.058,0.001,0.001,1383.0,1760.0,1.0,2,-1.0,1.5,1000
a,1.5,1.146,0.071,1.013,1.269,0.003,0.004,1038.0,555.0,1.0,2,-1.0,1.5,1000
z,0.5,0.508,0.011,0.487,0.527,0.0,0.0,1418.0,1964.0,1.0,2,-1.0,1.5,1000
g,-1.0,-0.327,0.203,-0.697,0.103,0.007,0.007,1154.0,543.0,1.0,2,-1.0,1.5,1000
t,0.1,0.193,0.019,0.158,0.225,0.001,0.001,1142.0,682.0,1.0,2,-1.0,1.5,1000
