param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.051,0.057,-0.054,0.157,0.001,0.001,1605.0,2020.0,1.0,6,-0.5,1.5,1000
a,1.5,1.855,0.089,1.687,2.007,0.003,0.002,1079.0,1362.0,1.0,6,-0.5,1.5,1000
z,0.5,0.484,0.011,0.462,0.503,0.0,0.0,1545.0,1745.0,1.0,6,-0.5,1.5,1000
g,-0.5,-0.947,0.044,-1.0,-0.872,0.001,0.002,1364.0,1583.0,1.0,6,-0.5,1.5,1000
t,0.1,0.043,0.026,0.001,0.088,0.001,0.001,1041.0,939.0,1.0,6,-0.5,1.5,1000
