param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.015,0.008,-0.031,-0.0,0.0,0.0,2948.0,2735.0,1.0,19,1.0,1.5,3700
a,1.5,1.544,0.007,1.531,1.558,0.0,0.0,3031.0,2751.0,1.0,19,1.0,1.5,3700
z,0.5,0.492,0.008,0.477,0.507,0.0,0.0,2811.0,2881.0,1.0,19,1.0,1.5,3700
g,1.0,0.997,0.003,0.992,1.0,0.0,0.0,2592.0,1782.0,1.0,19,1.0,1.5,3700
t,0.1,0.063,0.018,0.03,0.097,0.0,0.0,3013.0,1738.0,1.0,19,1.0,1.5,3700
