param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.078,0.026,-0.121,-0.028,0.001,0.0,1954.0,2025.0,1.0,15,0.5,1.5,3700
a,1.5,2.169,0.031,2.114,2.227,0.001,0.001,1782.0,1740.0,1.0,15,0.5,1.5,3700
z,0.5,0.509,0.006,0.497,0.519,0.0,0.0,1994.0,2225.0,1.0,15,0.5,1.5,3700
g,0.5,-0.721,0.019,-0.755,-0.687,0.0,0.0,1932.0,1999.0,1.0,15,0.5,1.5,3700
t,0.1,0.006,0.004,0.001,0.013,0.0,0.0,1888.0,1458.0,1.0,15,0.5,1.5,3700
