param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.003,0.024,-0.048,0.042,0.001,0.0,1635.0,1958.0,1.0,1,-1.0,1.0,3700
a,1.0,0.839,0.039,0.766,0.899,0.001,0.001,849.0,1606.0,1.01,1,-1.0,1.0,3700
z,0.5,0.495,0.006,0.484,0.507,0.0,0.0,1378.0,1874.0,1.0,1,-1.0,1.0,3700
g,-1.0,0.037,0.352,-0.433,0.741,0.013,0.006,847.0,1725.0,1.01,1,-1.0,1.0,3700
t,0.1,0.131,0.008,0.118,0.145,0.0,0.0,885.0,1803.0,1.01,1,-1.0,1.0,3700
