param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.013,0.02,-0.049,0.024,0.001,0.0,1536.0,1914.0,1.0,7,-0.5,1.5,3700
a,1.5,1.343,0.06,1.237,1.452,0.002,0.003,1210.0,773.0,1.0,7,-0.5,1.5,3700
z,0.5,0.508,0.005,0.498,0.518,0.0,0.0,1409.0,2000.0,1.0,7,-0.5,1.5,3700
g,-0.5,-0.452,0.1,-0.651,-0.275,0.003,0.003,1221.0,787.0,1.0,7,-0.5,1.5,3700
t,0.1,0.166,0.017,0.134,0.197,0.001,0.001,1286.0,815.0,1.0,7,-0.5,1.5,3700
