param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.036,0.048,-0.124,0.053,0.001,0.001,1581.0,1880.0,1.0,0,-1.0,1.0,1000
a,1.0,0.851,0.071,0.736,0.975,0.003,0.001,672.0,1222.0,1.01,0,-1.0,1.0,1000
z,0.5,0.509,0.012,0.487,0.531,0.0,0.0,1478.0,2082.0,1.0,0,-1.0,1.0,1000
g,-1.0,-0.092,0.575,-1.0,0.837,0.022,0.008,667.0,971.0,1.0,0,-1.0,1.0,1000
t,0.1,0.126,0.014,0.101,0.151,0.001,0.0,763.0,1155.0,1.01,0,-1.0,1.0,1000
