param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.05,0.052,-0.041,0.151,0.002,0.001,1159.0,1769.0,1.0,6,-0.5,1.5,1000
a,1.5,1.872,0.089,1.708,2.03,0.003,0.002,883.0,1315.0,1.01,6,-0.5,1.5,1000
z,0.5,0.484,0.01,0.465,0.504,0.0,0.0,1132.0,1708.0,1.0,6,-0.5,1.5,1000
g,-0.5,-0.937,0.049,-1.0,-0.849,0.002,0.002,855.0,1062.0,1.01,6,-0.5,1.5,1000
t,0.1,0.036,0.024,0.001,0.079,0.001,0.001,908.0,977.0,1.01,6,-0.5,1.5,1000
