param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.022,0.043,-0.099,0.06,0.001,0.001,1957.0,2044.0,1.0,4,-0.5,1.0,1000
a,1.0,0.858,0.054,0.768,0.949,0.002,0.001,1118.0,1895.0,1.0,4,-0.5,1.0,1000
z,0.5,0.503,0.012,0.48,0.524,0.0,0.0,1864.0,2217.0,1.0,4,-0.5,1.0,1000
g,-0.5,0.203,0.423,-0.484,0.927,0.013,0.006,1112.0,1718.0,1.0,4,-0.5,1.0,1000
t,0.1,0.14,0.013,0.116,0.162,0.0,0.0,1268.0,1902.0,1.0,4,-0.5,1.0,1000
