param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.003,0.022,-0.039,0.045,0.001,0.0,1723.0,2162.0,1.0,11,0.0,1.5,3700
a,1.5,2.018,0.035,1.951,2.082,0.001,0.001,1974.0,2269.0,1.0,11,0.0,1.5,3700
z,0.5,0.5,0.005,0.49,0.509,0.0,0.0,1748.0,2112.0,1.0,11,0.0,1.5,3700
g,0.0,-0.767,0.023,-0.811,-0.726,0.001,0.0,2018.0,2503.0,1.0,11,0.0,1.5,3700
t,0.1,0.007,0.006,0.001,0.017,0.0,0.0,1675.0,1392.0,1.0,11,0.0,1.5,3700
