param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.032,0.046,-0.122,0.051,0.001,0.001,1768.0,1971.0,1.0,0,-1.0,1.0,1000
a,1.0,0.845,0.065,0.739,0.965,0.002,0.001,721.0,1062.0,1.01,0,-1.0,1.0,1000
z,0.5,0.509,0.011,0.488,0.53,0.0,0.0,1627.0,1932.0,1.0,0,-1.0,1.0,1000
g,-1.0,0.048,0.528,-0.838,0.994,0.02,0.008,702.0,919.0,1.01,0,-1.0,1.0,1000
t,0.1,0.126,0.013,0.1,0.147,0.0,0.0,856.0,1219.0,1.01,0,-1.0,1.0,1000
