param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.032,0.046,-0.113,0.059,0.001,0.001,1664.0,1928.0,1.0,0,-1.0,1.0,1000
a,1.0,0.848,0.066,0.745,0.971,0.002,0.001,813.0,1015.0,1.0,0,-1.0,1.0,1000
z,0.5,0.509,0.012,0.488,0.53,0.0,0.0,1644.0,2081.0,1.0,0,-1.0,1.0,1000
g,-1.0,0.023,0.529,-0.837,1.0,0.018,0.009,807.0,923.0,1.0,0,-1.0,1.0,1000
t,0.1,0.125,0.013,0.1,0.148,0.0,0.0,848.0,1111.0,1.0,0,-1.0,1.0,1000
