param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.019,0.04,-0.095,0.054,0.001,0.001,1295.0,1589.0,1.0,2,-1.0,1.5,1000
a,1.5,1.176,0.1,1.033,1.396,0.005,0.003,683.0,935.0,1.0,2,-1.0,1.5,1000
z,0.5,0.507,0.01,0.488,0.527,0.0,0.0,1320.0,1728.0,1.0,2,-1.0,1.5,1000
g,-1.0,-0.471,0.264,-1.0,-0.109,0.011,0.007,660.0,812.0,1.0,2,-1.0,1.5,1000
t,0.1,0.189,0.024,0.139,0.227,0.001,0.001,718.0,967.0,1.0,2,-1.0,1.5,1000
