param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.012,0.022,-0.053,0.029,0.001,0.0,1739.0,1977.0,1.0,5,-0.5,1.0,3700
a,1.0,0.86,0.043,0.791,0.93,0.002,0.0,684.0,1590.0,1.0,5,-0.5,1.0,3700
z,0.5,0.505,0.006,0.493,0.516,0.0,0.0,1717.0,2011.0,1.0,5,-0.5,1.0,3700
g,-0.5,0.287,0.345,-0.262,0.857,0.014,0.004,684.0,1613.0,1.01,5,-0.5,1.0,3700
t,0.1,0.131,0.009,0.115,0.148,0.0,0.0,735.0,1638.0,1.0,5,-0.5,1.0,3700
