param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.012,0.021,-0.05,0.029,0.001,0.0,1684.0,1720.0,1.0,5,-0.5,1.0,3700
a,1.0,0.879,0.038,0.815,0.943,0.001,0.0,819.0,1782.0,1.0,5,-0.5,1.0,3700
z,0.5,0.505,0.006,0.494,0.516,0.0,0.0,1454.0,2004.0,1.0,5,-0.5,1.0,3700
g,-0.5,0.275,0.297,-0.219,0.772,0.011,0.004,811.0,1713.0,1.0,5,-0.5,1.0,3700
t,0.1,0.124,0.008,0.109,0.138,0.0,0.0,929.0,1845.0,1.0,5,-0.5,1.0,3700
