param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.092,0.04,0.014,0.167,0.001,0.001,1616.0,1723.0,1.0,8,0.0,1.0,1000
a,1.0,0.969,0.052,0.866,1.059,0.002,0.001,1032.0,982.0,1.0,8,0.0,1.0,1000
z,0.5,0.482,0.012,0.46,0.504,0.0,0.0,1709.0,1983.0,1.0,8,0.0,1.0,1000
g,0.0,0.069,0.302,-0.453,0.661,0.01,0.008,1022.0,927.0,1.0,8,0.0,1.0,1000
t,0.1,0.107,0.014,0.082,0.133,0.0,0.0,1279.0,1274.0,1.0,8,0.0,1.0,1000
