param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.04,0.036,-0.028,0.108,0.001,0.001,1901.0,2139.0,1.0,16,1.0,1.0,1000
a,1.0,1.137,0.064,1.013,1.257,0.002,0.002,1077.0,986.0,1.0,16,1.0,1.0,1000
z,0.5,0.492,0.011,0.471,0.514,0.0,0.0,1688.0,1755.0,1.0,16,1.0,1.0,1000
g,1.0,-0.064,0.229,-0.427,0.415,0.007,0.007,1113.0,963.0,1.0,16,1.0,1.0,1000
t,0.1,0.099,0.019,0.062,0.133,0.001,0.0,1222.0,1243.0,1.0,16,1.0,1.0,1000
