param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n,variant,n_divergences,total_draws,frac_dropped,sampling_minutes,frac_divergent,covered
z,0.5,0.471,0.016,0.44,0.499,0.0,0.0,3461.0,2819.0,1.0,18,1.0,1.5,1000,nolapse_nodeadline,0,4000,0.039000000000000035,0.9763441642125448,0.0,False
g,1.0,0.992,0.008,0.977,1.0,0.0,0.0,2398.0,1285.0,1.0,18,1.0,1.5,1000,nolapse_nodeadline,0,4000,0.039000000000000035,0.9763441642125448,0.0,True
t,0.1,0.054,0.03,0.001,0.102,0.001,0.0,1738.0,1097.0,1.0,18,1.0,1.5,1000,nolapse_nodeadline,0,4000,0.039000000000000035,0.9763441642125448,0.0,True
v,0.0,-0.075,0.054,-0.177,0.028,0.001,0.001,1800.0,2119.0,1.0,18,1.0,1.5,1000,nolapse,0,4000,0.512,1.317457417647044,0.0,True
a,1.5,2.151,0.096,1.954,2.306,0.003,0.003,1414.0,1196.0,1.0,18,1.0,1.5,1000,nolapse,0,4000,0.512,1.317457417647044,0.0,False
z,0.5,0.5,0.013,0.475,0.524,0.0,0.0,1720.0,2179.0,1.0,18,1.0,1.5,1000,nolapse,0,4000,0.512,1.317457417647044,0.0,True
g,1.0,-0.655,0.055,-0.745,-0.55,0.002,0.002,1588.0,1239.0,1.0,18,1.0,1.5,1000,nolapse,0,4000,0.512,1.317457417647044,0.0,False
t,0.1,0.021,0.019,0.001,0.055,0.001,0.001,1197.0,1152.0,1.0,18,1.0,1.5,1000,nolapse,0,4000,0.512,1.317457417647044,0.0,False
v,0.0,-0.079,0.056,-0.185,0.023,0.001,0.001,1810.0,2109.0,1.0,18,1.0,1.5,1000,default,0,4000,0.512,1.634281333287557,0.0,True
a,1.5,2.157,0.096,1.979,2.312,0.003,0.004,1286.0,942.0,1.0,18,1.0,1.5,1000,default,0,4000,0.512,1.634281333287557,0.0,False
z,0.5,0.499,0.013,0.473,0.524,0.0,0.0,1874.0,2178.0,1.0,18,1.0,1.5,1000,default,0,4000,0.512,1.634281333287557,0.0,True
g,1.0,-0.668,0.055,-0.755,-0.56,0.002,0.003,1277.0,960.0,1.0,18,1.0,1.5,1000,default,0,4000,0.512,1.634281333287557,0.0,False
t,0.1,0.023,0.02,0.001,0.057,0.001,0.001,1288.0,1191.0,1.0,18,1.0,1.5,1000,default,0,4000,0.512,1.634281333287557,0.0,False
v,0.0,-0.015,0.008,-0.031,-0.0,0.0,0.0,2948.0,2735.0,1.0,19,1.0,1.5,3700,nolapse_nodeadline,0,4000,0.028918918918918957,3.0946263511975607,0.0,True
a,1.5,1.544,0.007,1.531,1.558,0.0,0.0,3031.0,2751.0,1.0,19,1.0,1.5,3700,nolapse_nodeadline,0,4000,0.028918918918918957,3.0946263511975607,0.0,False
z,0.5,0.492,0.008,0.477,0.507,0.0,0.0,2811.0,2881.0,1.0,19,1.0,1.5,3700,nolapse_nodeadline,0,4000,0.028918918918918957,3.0946263511975607,0.0,True
g,1.0,0.997,0.003,0.992,1.0,0.0,0.0,2592.0,1782.0,1.0,19,1.0,1.5,3700,nolapse_nodeadline,0,4000,0.028918918918918957,3.0946263511975607,0.0,True
t,0.1,0.063,0.018,0.03,0.097,0.0,0.0,3013.0,1738.0,1.0,19,1.0,1.5,3700,nolapse_nodeadline,0,4000,0.028918918918918957,3.0946263511975607,0.0,False
v,0.0,-0.049,0.027,-0.098,0.004,0.001,0.0,1860.0,2076.0,1.0,19,1.0,1.5,3700,nolapse,0,4000,0.4824324324324324,2.358674891789754,0.0,True
a,1.5,2.213,0.03,2.154,2.269,0.001,0.0,2323.0,2477.0,1.0,19,1.0,1.5,3700,nolapse,0,4000,0.4824324324324324,2.358674891789754,0.0,False
z,0.5,0.508,0.007,0.496,0.52,0.0,0.0,1905.0,2340.0,1.0,19,1.0,1.5,3700,nolapse,0,4000,0.4824324324324324,2.358674891789754,0.0,True
g,1.0,-0.636,0.019,-0.67,-0.599,0.0,0.0,2390.0,2729.0,1.0,19,1.0,1.5,3700,nolapse,0,4000,0.4824324324324324,2.358674891789754,0.0,False
t,0.1,0.006,0.005,0.001,0.015,0.0,0.0,2068.0,1528.0,1.0,19,1.0,1.5,3700,nolapse,0,4000,0.4824324324324324,2.358674891789754,0.0,False
v,0.0,-0.048,0.028,-0.101,0.007,0.001,0.001,2066.0,2207.0,1.0,19,1.0,1.5,3700,default,0,4000,0.4824324324324324,2.0423767805099486,0.0,True
a,1.5,2.219,0.03,2.161,2.274,0.001,0.0,2153.0,2731.0,1.0,19,1.0,1.5,3700,default,0,4000,0.4824324324324324,2.0423767805099486,0.0,False
z,0.5,0.506,0.007,0.494,0.519,0.0,0.0,2175.0,2325.0,1.0,19,1.0,1.5,3700,default,0,4000,0.4824324324324324,2.0423767805099486,0.0,True
g,1.0,-0.646,0.019,-0.681,-0.611,0.0,0.0,2451.0,2464.0,1.0,19,1.0,1.5,3700,default,0,4000,0.4824324324324324,2.0423767805099486,0.0,False
t,0.1,0.007,0.006,0.001,0.018,0.0,0.0,1848.0,1264.0,1.0,19,1.0,1.5,3700,default,0,4000,0.4824324324324324,2.0423767805099486,0.0,False
