param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.026,0.019,-0.01,0.059,0.0,0.0,1532.0,1979.0,1.0,13,0.5,1.0,3700
a,1.0,1.068,0.029,1.015,1.125,0.001,0.001,1171.0,1266.0,1.0,13,0.5,1.0,3700
z,0.5,0.5,0.006,0.489,0.511,0.0,0.0,1616.0,2143.0,1.0,13,0.5,1.0,3700
g,0.5,0.002,0.123,-0.205,0.236,0.004,0.004,1243.0,1255.0,1.0,13,0.5,1.0,3700
t,0.1,0.092,0.008,0.077,0.109,0.0,0.0,1230.0,1232.0,1.0,13,0.5,1.0,3700
