param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,0.09,0.039,0.014,0.158,0.001,0.001,1621.0,1979.0,1.0,8,0.0,1.0,1000
a,1.0,0.979,0.051,0.875,1.067,0.001,0.001,1173.0,1585.0,1.0,8,0.0,1.0,1000
z,0.5,0.482,0.012,0.46,0.504,0.0,0.0,1825.0,1736.0,1.0,8,0.0,1.0,1000
g,0.0,0.097,0.284,-0.404,0.662,0.008,0.006,1195.0,1498.0,1.0,8,0.0,1.0,1000
t,0.1,0.102,0.013,0.079,0.13,0.0,0.0,1298.0,1441.0,1.0,8,0.0,1.0,1000
