param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.079,0.056,-0.185,0.023,0.001,0.001,1810.0,2109.0,1.0,18,1.0,1.5,1000
a,1.5,2.157,0.096,1.979,2.312,0.003,0.004,1286.0,942.0,1.0,18,1.0,1.5,1000
z,0.5,0.499,0.013,0.473,0.524,0.0,0.0,1874.0,2178.0,1.0,18,1.0,1.5,1000
g,1.0,-0.668,0.055,-0.755,-0.56,0.002,0.003,1277.0,960.0,1.0,18,1.0,1.5,1000
t,0.1,0.023,0.02,0.001,0.057,0.001,0.001,1288.0,1191.0,1.0,18,1.0,1.5,1000
