param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n
v,0.0,-0.048,0.028,-0.101,0.007,0.001,0.001,2066.0,2207.0,1.0,19,1.0,1.5,3700
a,1.5,2.219,0.03,2.161,2.274,0.001,0.0,2153.0,2731.0,1.0,19,1.0,1.5,3700
z,0.5,0.506,0.007,0.494,0.519,0.0,0.0,2175.0,2325.0,1.0,19,1.0,1.5,3700
g,1.0,-0.646,0.019,-0.681,-0.611,0.0,0.0,2451.0,2464.0,1.0,19,1.0,1.5,3700
t,0.1,0.007,0.006,0.001,0.018,0.0,0.0,1848.0,1264.0,1.0,19,1.0,1.5,3700
