param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.016,0.003,-0.022,-0.009,0.0,0.0,4399.0,3183.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
v_coherence_signed,6.359,0.04,6.285,6.433,0.001,0.001,3132.0,2738.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
a,1.519,0.003,1.514,1.524,0.0,0.0,3599.0,2747.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
z,0.488,0.002,0.483,0.493,0.0,0.0,3258.0,2829.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
g,0.999,0.001,0.998,1.0,0.0,0.0,2722.0,1993.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
v(0.15),0.938,0.007,0.925,0.951,0.0,0.0,3369.0,3011.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
v(0),-0.016,0.003,-0.022,-0.009,0.0,0.0,4399.0,3183.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
v(-0.15),-0.969,0.007,-0.982,-0.957,0.0,0.0,3288.0,2717.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
g_model,0.999,0.001,0.998,1.0,0.0,0.0,2722.0,1993.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
a_model,1.519,0.003,1.514,1.524,0.0,0.0,3599.0,2747.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
g_native,19.986,0.013,19.962,20.0,0.0,0.0,2722.0,1993.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
a_native,0.34,0.001,0.338,0.341,0.0,0.0,3599.0,2747.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
v_native(0.15),4.196,0.03,4.139,4.253,0.001,0.0,3369.0,3011.0,1.0,0.8,20.0,1.5,0,38640,0.4,g0.8_k20_b1.5_pooled
