draw,g_nat,omit,median_rt,acc,gain,bound,k,net_omit,net_median_rt,net_acc
0,2.2446251,0.05994999999999995,209.0,0.9045082085878913,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
10,2.5027037,0.06325000000000003,208.20000000000002,0.900656862175202,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
20,2.2565198,0.06477500000000003,211.2,0.9052729546578251,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
30,2.347542,0.06515000000000004,210.75,0.9026569275092395,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
40,2.3841571999999998,0.062224999999999975,210.8,0.9038455957045421,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
51,2.4222982,0.061775000000000024,208.90000000000003,0.9001654235714078,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
61,2.5204896999999997,0.06527499999999997,211.90000000000003,0.9033900771133421,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
71,2.2179699,0.06432499999999997,210.4,0.9059692379263222,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
81,2.3775458,0.06430000000000002,210.10000000000002,0.9055610493863068,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
92,2.4117338999999998,0.06474999999999997,210.9,0.9064291743065863,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
102,2.0394456,0.06307499999999999,210.20000000000002,0.90205646566748,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
112,2.4630189,0.06164999999999998,207.60000000000005,0.9022584765443568,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
122,2.4592197,0.06384999999999996,209.60000000000002,0.9041968414623506,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
133,2.0448339,0.06279999999999997,209.70000000000005,0.902204536872985,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
143,2.4761021,0.06289999999999996,211.30000000000004,0.9023157160705465,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
153,2.2630584000000002,0.061775000000000024,210.50000000000006,0.9022288002786001,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
163,2.3141587,0.06330000000000002,209.50000000000003,0.9022377215925603,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
173,2.4628997,0.062000000000000055,208.20000000000002,0.8981255803156918,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
184,2.295487,0.06457500000000005,211.90000000000003,0.9043604651162791,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
194,2.3067069,0.06355,210.70000000000002,0.9046705612230069,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
204,2.3454523,0.06107499999999999,209.90000000000003,0.9010816924281531,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
214,2.2994363,0.06299999999999994,207.30000000000004,0.9014297338137859,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
225,2.1592212,0.06294999999999995,209.90000000000003,0.9063053643518922,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
235,2.6344728,0.06420000000000003,209.1,0.9047383864501322,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
245,2.2482311999999998,0.063025,210.70000000000002,0.9081721554277749,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
255,2.1548855,0.05974999999999997,209.90000000000003,0.9032211343491107,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
266,2.8346026,0.06455,209.79999999999998,0.902679584533473,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
276,2.2212684,0.06559999999999999,209.90000000000003,0.9060742898761835,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
286,2.5828505,0.06474999999999997,210.50000000000006,0.906906382731134,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
296,2.355473,0.06262500000000004,209.2,0.9024744002552723,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
306,2.089243,0.0595,210.3,0.9015239309305829,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
317,2.030518,0.060575000000000045,210.4,0.9028425719335864,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
327,2.2264695000000003,0.060975,210.8,0.9032716514879053,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
337,2.0290565,0.06027499999999997,208.60000000000002,0.9037052058286741,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
347,2.2467291,0.06247499999999995,209.2,0.9046029719061992,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
358,2.061516,0.058499999999999996,208.90000000000003,0.9018490118348332,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
368,2.5208306,0.06577500000000003,210.00000000000003,0.9055065373751492,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
378,2.3339832,0.06312499999999999,209.79999999999998,0.9022816451097224,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
388,2.2380233,0.06162500000000004,208.60000000000002,0.9035739150614992,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
399,2.4271476,0.06532499999999997,210.9,0.9075378346915017,1.0,2.94,10.0,0.30362500000000003,229.0,0.9301387919671241
