param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.101,0.02,-0.141,-0.066,0.0,0.0,2656.0,2741.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
v_coherence_signed,8.315,0.232,7.909,8.779,0.004,0.004,2881.0,2303.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
a,1.161,0.01,1.144,1.181,0.0,0.0,2554.0,2813.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
z,0.475,0.009,0.458,0.493,0.0,0.0,2536.0,2754.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
g,0.979,0.02,0.942,1.0,0.0,0.0,2128.0,1925.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
v(0.15),1.146,0.038,1.071,1.213,0.001,0.001,2986.0,2773.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
v(0),-0.101,0.02,-0.141,-0.066,0.0,0.0,2656.0,2741.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
v(-0.15),-1.349,0.042,-1.422,-1.264,0.001,0.001,2700.0,2406.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
g_native,9.793,0.201,9.419,10.0,0.004,0.005,2128.0,1925.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
a_native,0.367,0.003,0.362,0.373,0.0,0.0,2554.0,2813.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
v_native(0.15),3.624,0.12,3.387,3.836,0.002,0.002,2986.0,2773.0,1.0,0.8,10.0,1.5,47,1943,0.39,g0.8_k10_b1.5_s47
