param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.037,0.004,-0.045,-0.029,0.0,0.0,3044.0,2771.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
v_coherence_signed,7.823,0.063,7.703,7.939,0.001,0.001,2117.0,2382.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
a,1.636,0.013,1.613,1.66,0.0,0.0,1792.0,2281.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
z,0.496,0.003,0.491,0.501,0.0,0.0,2705.0,2692.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
g,0.672,0.027,0.622,0.723,0.001,0.0,1636.0,2142.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
v(0.15),1.137,0.01,1.117,1.155,0.0,0.0,2232.0,2475.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
v(0),-0.037,0.004,-0.045,-0.029,0.0,0.0,3044.0,2771.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
v(-0.15),-1.21,0.011,-1.229,-1.19,0.0,0.0,2231.0,2438.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
g_model,0.672,0.027,0.622,0.723,0.001,0.0,1636.0,2142.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
a_model,1.636,0.013,1.613,1.66,0.0,0.0,1792.0,2281.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
g_native,6.721,0.273,6.222,7.235,0.007,0.005,1636.0,2142.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
a_native,0.517,0.004,0.51,0.525,0.0,0.0,1792.0,2281.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
v_native(0.15),3.594,0.033,3.531,3.653,0.001,0.0,2232.0,2475.0,1.0,0.8,10.0,2.5,0,27722,0.45,g0.8_k10_b2.5_pooled
