tag,gain,k,abs_coherence,n_obs,n_sim,acc_obs,acc_sim,omit_sim,qc10_obs,qc10_sim,qc10_err,qc30_obs,qc30_sim,qc30_err,qc50_obs,qc50_sim,qc50_err,qc70_obs,qc70_sim,qc70_err,qc90_obs,qc90_sim,qc90_err,qe10_obs,qe10_sim,qe10_err,qe30_obs,qe30_sim,qe30_err,qe50_obs,qe50_sim,qe50_err,qe70_obs,qe70_sim,qe70_err,qe90_obs,qe90_sim,qe90_err
g1.0_k10_b2.5_pooled,1.0,10.0,0.0,3034,18391,0.47462096242584045,0.4687075199826002,0.08044999999999998,84.0,77.80000000000001,-6.199999999999989,151.0,141.7,-9.300000000000011,231.5,221.00000000000003,-10.499999999999972,358.0999999999999,333.5,-24.59999999999991,565.7000000000003,530.5,-35.20000000000027,,,,,,,,,,,,,,,
g1.0_k10_b2.5_pooled,1.0,10.0,0.03,6116,37418,0.7271092217135383,0.7051151852049815,0.06455000000000001,83.0,76.2,-6.799999999999997,144.0,138.4,-5.599999999999994,222.0,214.20000000000002,-7.799999999999983,335.1999999999998,323.10999999999996,-12.089999999999861,548.0,528.1700000000001,-19.829999999999927,78.0,74.6,-3.4000000000000057,151.0,135.69,-15.310000000000002,232.0,210.00000000000003,-21.99999999999997,340.0,322.61,-17.389999999999986,545.0,520.5400000000002,-24.45999999999981
g1.0_k10_b2.5_pooled,1.0,10.0,0.06,6412,38562,0.8691515907673113,0.8474923499818474,0.035950000000000024,77.0,71.8,-5.200000000000003,138.0,126.69999999999997,-11.300000000000026,211.0,194.6,-16.400000000000006,310.0,292.70000000000005,-17.299999999999955,506.8000000000002,480.1,-26.70000000000016,73.0,69.2,-3.799999999999997,132.0,121.39999999999999,-10.600000000000009,201.0,183.60000000000002,-17.399999999999977,309.0,289.80000000000007,-19.199999999999932,502.4000000000001,477.50000000000006,-24.900000000000034
g1.0_k10_b2.5_pooled,1.0,10.0,0.09,6834,39463,0.9462979221539362,0.9299090287104377,0.013425000000000013,70.0,66.7,-3.299999999999997,121.0,111.39999999999999,-9.600000000000009,177.0,165.3,-11.699999999999989,257.0,244.10000000000005,-12.899999999999949,429.0,406.30000000000007,-22.699999999999932,63.6,61.79999999999999,-1.8000000000000114,114.6,103.6,-11.0,165.0,155.84999999999997,-9.150000000000034,236.0,231.10000000000002,-4.899999999999977,386.2000000000001,398.1,11.89999999999992
g1.0_k10_b2.5_pooled,1.0,10.0,0.12,6765,39885,0.9787139689578714,0.9695123480005015,0.0028750000000000026,65.0,61.39999999999999,-3.6000000000000085,103.0,97.69999999999997,-5.300000000000026,149.0,139.6,-9.400000000000006,212.0,199.9,-12.099999999999994,359.0,328.32000000000045,-30.679999999999552,59.3,57.35,-1.9499999999999957,84.8,86.3,1.5,126.5,125.4,-1.0999999999999943,199.39999999999998,184.0,-15.399999999999977,357.5000000000002,331.5000000000001,-26.000000000000114
g1.0_k10_b2.5_pooled,1.0,10.0,0.15,6817,39976,0.9909050902156373,0.9860916549929958,0.0006000000000000005,56.0,56.400000000000006,0.4000000000000057,89.0,85.7,-3.299999999999997,121.0,119.0,-2.0,171.0,167.2,-3.8000000000000114,280.0,266.20000000000005,-13.799999999999955,52.300000000000004,49.95,-2.3500000000000014,86.9,75.09999999999998,-11.800000000000026,129.5,99.94999999999999,-29.55000000000001,150.1,143.25,-6.849999999999994,235.89999999999998,244.10000000000002,8.200000000000045
