param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.014,0.017,-0.018,0.043,0.0,0.0,2957.0,2835.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
v_coherence_signed,6.87,0.196,6.471,7.212,0.004,0.003,2055.0,2020.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
a,1.323,0.011,1.304,1.344,0.0,0.0,2270.0,2542.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
z,0.508,0.01,0.489,0.526,0.0,0.0,2775.0,2593.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
g,0.984,0.016,0.955,1.0,0.0,0.0,2440.0,1797.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
v(0.15),1.045,0.034,0.982,1.114,0.001,0.001,2055.0,2192.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
v(0),0.014,0.017,-0.018,0.043,0.0,0.0,2957.0,2835.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
v(-0.15),-1.017,0.033,-1.081,-0.959,0.001,0.001,2322.0,2184.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
g_native,15.742,0.252,15.274,16.0,0.004,0.006,2440.0,1797.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
a_native,0.331,0.003,0.326,0.336,0.0,0.0,2270.0,2542.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
v_native(0.15),4.178,0.138,3.928,4.455,0.003,0.002,2055.0,2192.0,1.0,0.8,16.0,1.5,50,1969,0.412,g0.8_k16_b1.5_s50
