param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.112,0.024,-0.157,-0.068,0.001,0.0,2156.0,2512.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
v_coherence_signed,6.643,0.219,6.249,7.068,0.004,0.004,3079.0,2146.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
a,1.302,0.031,1.242,1.358,0.001,0.001,1773.0,2109.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
z,0.595,0.008,0.58,0.609,0.0,0.0,2419.0,2707.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
g,0.105,0.093,-0.064,0.276,0.002,0.002,1750.0,2008.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
v(0.15),0.884,0.041,0.801,0.957,0.001,0.001,2611.0,2749.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
v(0),-0.112,0.024,-0.157,-0.068,0.001,0.0,2156.0,2512.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
v(-0.15),-1.109,0.04,-1.187,-1.037,0.001,0.001,2781.0,2382.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
g_model,0.105,0.093,-0.064,0.276,0.002,0.002,1750.0,2008.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
a_model,1.302,0.031,1.242,1.358,0.001,0.001,1773.0,2109.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
g_native,1.679,1.491,-1.028,4.415,0.036,0.029,1750.0,2008.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
a_native,0.325,0.008,0.311,0.34,0.0,0.0,1773.0,2109.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
v_native(0.15),3.537,0.164,3.206,3.826,0.003,0.002,2611.0,2749.0,1.0,1.2,16.0,1.5,59,2000,0.396,g1.2_k16_b1.5_s59
