tag,gain,k,abs_coherence,n_obs,n_sim,acc_obs,acc_sim,omit_sim,qc10_obs,qc10_sim,qc10_err,qc30_obs,qc30_sim,qc30_err,qc50_obs,qc50_sim,qc50_err,qc70_obs,qc70_sim,qc70_err,qc90_obs,qc90_sim,qc90_err,qe10_obs,qe10_sim,qe10_err,qe30_obs,qe30_sim,qe30_err,qe50_obs,qe50_sim,qe50_err,qe70_obs,qe70_sim,qe70_err,qe90_obs,qe90_sim,qe90_err
g0.8_k10_b2.94_pooled,0.8,10.0,0.0,507,11632,0.39447731755424065,0.4511691884456671,0.41839999999999994,144.4,131.9,-12.5,252.79999999999998,233.15999999999997,-19.640000000000015,377.0,348.0,-29.0,521.5999999999999,483.6700000000001,-37.929999999999836,681.0,646.5799999999999,-34.42000000000007,,,,,,,,,,,,,,,
g0.8_k10_b2.94_pooled,0.8,10.0,0.03,1190,24789,0.8344537815126051,0.7389971358263746,0.38027500000000003,148.0,132.5,-15.5,269.59999999999997,232.00000000000003,-37.59999999999994,375.0,342.90000000000003,-32.099999999999966,499.4,477.80000000000007,-21.59999999999991,669.0,646.9,-22.100000000000023,155.0,128.3,-26.69999999999999,280.6,227.80000000000007,-52.799999999999955,387.0,337.0,-50.0,507.7999999999999,480.1199999999997,-27.680000000000177,664.0,649.51,-14.490000000000009
g0.8_k10_b2.94_pooled,0.8,10.0,0.06,1776,28924,0.9515765765765766,0.8917507951873876,0.27690000000000003,156.9,128.6,-28.30000000000001,273.0,221.05999999999997,-51.940000000000026,381.0,323.5,-57.5,512.0,455.40000000000003,-56.599999999999966,673.0,633.3,-39.700000000000045,114.5,117.40000000000002,2.90000000000002,229.5,201.40000000000003,-28.099999999999966,326.5,303.20000000000005,-23.299999999999955,470.99999999999994,440.20000000000005,-30.799999999999898,667.0,616.9,-50.10000000000002
g0.8_k10_b2.94_pooled,0.8,10.0,0.09,2641,33388,0.9897765997728133,0.9589672936384329,0.1653,146.3,121.8,-24.500000000000014,243.0,199.81000000000006,-43.18999999999994,344.0,291.00000000000006,-52.99999999999994,463.0999999999999,412.70000000000005,-50.399999999999864,637.0,600.1299999999999,-36.87000000000012,,105.30000000000003,,,170.94,,,263.75,,,390.9000000000001,,,590.3900000000002,
g0.8_k10_b2.94_pooled,0.8,10.0,0.12,3201,36910,0.9978131833801936,0.9837713356813872,0.07724999999999999,131.0,112.9,-18.099999999999994,218.89999999999998,179.2,-39.69999999999999,309.5,257.29999999999995,-52.200000000000045,437.0,363.40000000000003,-73.59999999999997,616.0,548.5,-67.5,,94.92,,,142.98,,,208.3,,,299.28,,,508.5800000000001,
g0.8_k10_b2.94_pooled,0.8,10.0,0.15,3925,38876,0.999235668789809,0.9939294166066468,0.02810000000000002,118.0,105.6,-12.400000000000006,194.0,159.3,-34.69999999999999,273.0,221.40000000000003,-51.599999999999966,384.0,308.6,-75.39999999999998,571.0,479.2099999999998,-91.79000000000019,,86.6,,,120.25000000000001,,,170.45,,,246.95,,,385.55000000000007,
