param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.021,0.028,-0.032,0.073,0.001,0.0,2578.0,2397.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
v_coherence_signed,8.904,0.29,8.384,9.472,0.005,0.005,2788.0,2529.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
a,0.869,0.009,0.854,0.887,0.0,0.0,2383.0,2689.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
z,0.565,0.008,0.551,0.581,0.0,0.0,2795.0,3018.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
g,0.932,0.055,0.83,1.0,0.001,0.001,1751.0,1643.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
v(0.15),1.357,0.054,1.253,1.454,0.001,0.001,2619.0,2621.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
v(0),0.021,0.028,-0.032,0.073,0.001,0.0,2578.0,2397.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
v(-0.15),-1.314,0.05,-1.41,-1.225,0.001,0.001,2903.0,2628.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
g_native,9.319,0.553,8.305,10.0,0.011,0.009,1751.0,1643.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
a_native,0.275,0.003,0.27,0.28,0.0,0.0,2383.0,2689.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
v_native(0.15),4.291,0.17,3.962,4.597,0.003,0.002,2619.0,2621.0,1.0,1.2,10.0,1.5,48,2000,0.37,g1.2_k10_b1.5_s48
