param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.048,0.016,0.019,0.078,0.0,0.0,2686.0,2407.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
v_coherence_signed,7.376,0.2,7.004,7.755,0.004,0.004,3176.0,2331.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
a,1.454,0.015,1.426,1.482,0.0,0.0,2972.0,2626.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
z,0.608,0.009,0.591,0.625,0.0,0.0,2834.0,2742.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
g,0.971,0.026,0.924,1.0,0.001,0.001,2179.0,1946.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
v(0.15),1.154,0.035,1.089,1.22,0.001,0.001,2995.0,2410.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
v(0),0.048,0.016,0.019,0.078,0.0,0.0,2686.0,2407.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
v(-0.15),-1.059,0.033,-1.124,-1.0,0.001,0.001,3418.0,2694.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
g_native,15.544,0.422,14.784,16.0,0.008,0.009,2179.0,1946.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
a_native,0.364,0.004,0.357,0.37,0.0,0.0,2972.0,2626.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
v_native(0.15),4.617,0.139,4.354,4.882,0.003,0.002,2995.0,2410.0,1.0,0.8,16.0,1.5,59,1938,0.508,g0.8_k16_b1.5_s59
