acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,128.0,0.5033333333333333,1510,-1,1.2,2.94,10.0
0.0,False,0.5,212.0,0.5033333333333333,1510,-1,1.2,2.94,10.0
0.0,False,0.75,350.75,0.5033333333333333,1510,-1,1.2,2.94,10.0
0.0,True,0.25,137.0,0.49666666666666665,1490,-1,1.2,2.94,10.0
0.0,True,0.5,216.0,0.49666666666666665,1490,-1,1.2,2.94,10.0
0.0,True,0.75,354.0,0.49666666666666665,1490,-1,1.2,2.94,10.0
0.03,False,0.25,137.0,0.3017198196693939,1807,-1,1.2,2.94,10.0
0.03,False,0.5,215.0,0.3017198196693939,1807,-1,1.2,2.94,10.0
0.03,False,0.75,337.5,0.3017198196693939,1807,-1,1.2,2.94,10.0
0.03,True,0.25,126.0,0.6982801803306061,4182,-1,1.2,2.94,10.0
0.03,True,0.5,202.0,0.6982801803306061,4182,-1,1.2,2.94,10.0
0.03,True,0.75,328.0,0.6982801803306061,4182,-1,1.2,2.94,10.0
0.06,False,0.25,122.0,0.1620740257622697,994,-1,1.2,2.94,10.0
0.06,False,0.5,206.5,0.1620740257622697,994,-1,1.2,2.94,10.0
0.06,False,0.75,330.0,0.1620740257622697,994,-1,1.2,2.94,10.0
0.06,True,0.25,120.0,0.8379259742377303,5139,-1,1.2,2.94,10.0
0.06,True,0.5,193.0,0.8379259742377303,5139,-1,1.2,2.94,10.0
0.06,True,0.75,311.0,0.8379259742377303,5139,-1,1.2,2.94,10.0
0.09,False,0.25,117.0,0.07695902788596355,494,-1,1.2,2.94,10.0
0.09,False,0.5,179.5,0.07695902788596355,494,-1,1.2,2.94,10.0
0.09,False,0.75,271.0,0.07695902788596355,494,-1,1.2,2.94,10.0
0.09,True,0.25,107.0,0.9230409721140365,5925,-1,1.2,2.94,10.0
0.09,True,0.5,167.0,0.9230409721140365,5925,-1,1.2,2.94,10.0
0.09,True,0.75,267.0,0.9230409721140365,5925,-1,1.2,2.94,10.0
0.12,False,0.25,91.0,0.03338582677165354,212,-1,1.2,2.94,10.0
0.12,False,0.5,161.5,0.03338582677165354,212,-1,1.2,2.94,10.0
0.12,False,0.75,248.0,0.03338582677165354,212,-1,1.2,2.94,10.0
