param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.103,0.023,0.061,0.149,0.0,0.0,2876.0,2393.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
v_coherence_signed,8.644,0.253,8.166,9.097,0.004,0.004,3269.0,2515.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
a,1.054,0.01,1.035,1.073,0.0,0.0,2973.0,2298.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
z,0.521,0.009,0.505,0.538,0.0,0.0,3017.0,2929.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
g,0.954,0.04,0.878,1.0,0.001,0.001,1950.0,1815.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
v(0.15),1.4,0.047,1.314,1.49,0.001,0.001,3056.0,2637.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
v(0),0.103,0.023,0.061,0.149,0.0,0.0,2876.0,2393.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
v(-0.15),-1.193,0.042,-1.268,-1.114,0.001,0.001,3191.0,2427.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
g_native,9.545,0.399,8.783,10.0,0.008,0.007,1950.0,1815.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
a_native,0.333,0.003,0.327,0.339,0.0,0.0,2973.0,2298.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
v_native(0.15),4.427,0.148,4.156,4.712,0.003,0.003,3056.0,2637.0,1.0,1.0,10.0,1.5,52,1993,0.35,g1.0_k10_b1.5_s52
