param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,true,true_native,gain,k,g_source,tag
v_Intercept,-0.031,0.01,-0.049,-0.012,0.0,0.0,2405.0,2367.0,1.0,-0.027218864463503977,-0.08607360702808961,1.0,10.0,theory,recover_g1.0_k10_theory
v_coherence_signed,8.939,0.088,8.776,9.101,0.002,0.001,3200.0,2772.0,1.0,8.862225843975,28.02481880576901,1.0,10.0,theory,recover_g1.0_k10_theory
a,1.004,0.008,0.989,1.019,0.0,0.0,1831.0,2107.0,1.0,1.02157838722875,0.3230514512044318,1.0,10.0,theory,recover_g1.0_k10_theory
z,0.495,0.002,0.49,0.5,0.0,0.0,2459.0,2398.0,1.0,0.49343680392125,0.49343680392125,1.0,10.0,theory,recover_g1.0_k10_theory
g,-0.015,0.05,-0.11,0.08,0.001,0.001,1863.0,2264.0,1.0,-0.16,-1.6,1.0,10.0,theory,recover_g1.0_k10_theory
