param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.015,0.003,-0.021,-0.01,0.0,0.0,4470.0,3237.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
v_coherence_signed,5.938,0.038,5.863,6.008,0.001,0.001,2663.0,2509.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
a,1.616,0.003,1.611,1.621,0.0,0.0,3130.0,2952.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
z,0.484,0.003,0.478,0.488,0.0,0.0,2745.0,2393.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
g,1.0,0.0,0.999,1.0,0.0,0.0,2408.0,1368.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
v(0.15),0.875,0.007,0.863,0.887,0.0,0.0,2964.0,2918.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
v(0),-0.015,0.003,-0.021,-0.01,0.0,0.0,4470.0,3237.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
v(-0.15),-0.906,0.006,-0.917,-0.894,0.0,0.0,2888.0,2747.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
g_model,1.0,0.0,0.999,1.0,0.0,0.0,2408.0,1368.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
a_model,1.616,0.003,1.611,1.621,0.0,0.0,3130.0,2952.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
g_native,23.991,0.009,23.976,24.0,0.0,0.0,2408.0,1368.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
a_native,0.33,0.001,0.329,0.331,0.0,0.0,3130.0,2952.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
v_native(0.15),4.288,0.032,4.226,4.347,0.001,0.0,2964.0,2918.0,1.0,0.8,24.0,1.5,0,38640,0.42,g0.8_k24_b1.5_pooled
