param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.014,0.004,-0.022,-0.007,0.0,0.0,2938.0,2433.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
v_coherence_signed,6.343,0.047,6.255,6.431,0.001,0.001,2737.0,2293.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
a,1.242,0.007,1.229,1.255,0.0,0.0,1717.0,2273.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
z,0.494,0.002,0.49,0.497,0.0,0.0,2401.0,2424.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
g,0.701,0.026,0.651,0.748,0.001,0.0,1661.0,2044.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
v(0.15),0.937,0.008,0.922,0.953,0.0,0.0,2671.0,2368.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
v(0),-0.014,0.004,-0.022,-0.007,0.0,0.0,2938.0,2433.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
v(-0.15),-0.965,0.008,-0.982,-0.951,0.0,0.0,2870.0,2372.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
g_model,0.701,0.026,0.651,0.748,0.001,0.0,1661.0,2044.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
a_model,1.242,0.007,1.229,1.255,0.0,0.0,1717.0,2273.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
g_native,14.02,0.521,13.013,14.951,0.013,0.009,1661.0,2044.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
a_native,0.278,0.002,0.275,0.281,0.0,0.0,1717.0,2273.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
v_native(0.15),4.192,0.037,4.122,4.26,0.001,0.001,2671.0,2368.0,1.0,1.2,20.0,1.5,0,39988,0.38,g1.2_k20_b1.5_pooled
