param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.017,0.023,-0.029,0.057,0.0,0.0,2393.0,2549.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
v_coherence_signed,7.058,0.238,6.617,7.526,0.005,0.004,2790.0,2410.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
a,1.042,0.015,1.016,1.07,0.0,0.0,2201.0,2262.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
z,0.51,0.009,0.493,0.527,0.0,0.0,2371.0,2248.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
g,0.871,0.082,0.729,1.0,0.002,0.001,1825.0,1290.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
v(0.15),1.076,0.043,0.995,1.154,0.001,0.001,2572.0,2781.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
v(0),0.017,0.023,-0.029,0.057,0.0,0.0,2393.0,2549.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
v(-0.15),-1.041,0.042,-1.12,-0.963,0.001,0.001,2732.0,2416.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
g_native,13.932,1.31,11.669,15.996,0.029,0.019,1825.0,1290.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
a_native,0.26,0.004,0.254,0.268,0.0,0.0,2201.0,2262.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
v_native(0.15),4.304,0.173,3.981,4.617,0.003,0.003,2572.0,2781.0,1.0,1.2,16.0,1.5,50,2000,0.38,g1.2_k16_b1.5_s50
