param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.023,0.005,-0.032,-0.014,0.0,0.0,3241.0,2900.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
v_coherence_signed,8.824,0.053,8.721,8.92,0.001,0.001,2477.0,2120.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
a,1.164,0.002,1.16,1.169,0.0,0.0,3233.0,2731.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
z,0.495,0.002,0.491,0.499,0.0,0.0,2804.0,2228.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
g,0.995,0.005,0.985,1.0,0.0,0.0,2341.0,1464.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
v(0.15),1.301,0.009,1.283,1.317,0.0,0.0,2820.0,2602.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
v(0),-0.023,0.005,-0.032,-0.014,0.0,0.0,3241.0,2900.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
v(-0.15),-1.346,0.009,-1.364,-1.329,0.0,0.0,2473.0,2288.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
g_model,0.995,0.005,0.985,1.0,0.0,0.0,2341.0,1464.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
a_model,1.164,0.002,1.16,1.169,0.0,0.0,3233.0,2731.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
g_native,9.947,0.051,9.854,10.0,0.001,0.001,2341.0,1464.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
a_native,0.368,0.001,0.367,0.37,0.0,0.0,3233.0,2731.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
v_native(0.15),4.113,0.029,4.057,4.166,0.001,0.0,2820.0,2602.0,1.0,1.0,10.0,2.0,0,39321,0.4,g1.0_k10_b2.0_pooled
