param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.141,0.019,-0.175,-0.105,0.0,0.0,2376.0,2491.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
v_coherence_signed,7.475,0.207,7.09,7.865,0.004,0.003,2770.0,2745.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
a,1.224,0.01,1.206,1.245,0.0,0.0,2788.0,2394.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
z,0.452,0.009,0.436,0.469,0.0,0.0,2936.0,2737.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
g,0.98,0.02,0.945,1.0,0.0,0.001,1947.0,1619.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
v(0.15),0.981,0.034,0.914,1.04,0.001,0.0,3258.0,2823.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
v(0),-0.141,0.019,-0.175,-0.105,0.0,0.0,2376.0,2491.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
v(-0.15),-1.262,0.039,-1.33,-1.188,0.001,0.001,2342.0,2568.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
g_native,15.677,0.317,15.117,16.0,0.006,0.009,1947.0,1619.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
a_native,0.306,0.003,0.302,0.311,0.0,0.0,2788.0,2394.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
v_native(0.15),3.922,0.134,3.655,4.159,0.002,0.002,3258.0,2823.0,1.0,1.0,16.0,1.5,49,1989,0.46,g1.0_k16_b1.5_s49
