param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.014,0.004,-0.022,-0.006,0.0,0.0,3383.0,2678.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
v_coherence_signed,8.135,0.048,8.041,8.223,0.001,0.001,2461.0,2454.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
a,1.362,0.003,1.357,1.367,0.0,0.0,2831.0,2824.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
z,0.489,0.002,0.484,0.493,0.0,0.0,2705.0,2520.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
g,0.997,0.003,0.992,1.0,0.0,0.0,2113.0,2049.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
v(0.15),1.207,0.008,1.192,1.223,0.0,0.0,2672.0,2502.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
v(0),-0.014,0.004,-0.022,-0.006,0.0,0.0,3383.0,2678.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
v(-0.15),-1.234,0.008,-1.249,-1.218,0.0,0.0,2625.0,2697.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
g_model,0.997,0.003,0.992,1.0,0.0,0.0,2113.0,2049.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
a_model,1.362,0.003,1.357,1.367,0.0,0.0,2831.0,2824.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
g_native,9.97,0.029,9.917,10.0,0.0,0.001,2113.0,2049.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
a_native,0.431,0.001,0.429,0.432,0.0,0.0,2831.0,2824.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
v_native(0.15),3.816,0.026,3.769,3.868,0.001,0.0,2672.0,2502.0,1.0,0.8,10.0,2.0,0,34639,0.41,g0.8_k10_b2.0_pooled
