gain,variant,draw,g_nat,a_nat,v1_nat,slope_sim,acc_sim,frac_bounded
0.8,a_fitted_sigma1,draw0,9.9999857,0.37997922040027926,26.06978540765152,-0.06189199287812982,0.7454,0.99905
0.8,a_fitted_sigma1,draw1,9.988717000000001,0.3798686987960564,26.102129183559722,-0.06192181390586913,0.745525,0.999025
0.8,a_fitted_sigma1,draw2,9.998658,0.3798703748032163,26.066967818256312,-0.061888816734788646,0.745275,0.99905
0.8,a_fitted_sigma1,draw3,9.983136700000001,0.3793967604780528,25.80824923376729,-0.06172730127051393,0.744575,0.99905
0.8,a_fitted_sigma1,draw4,9.98826,0.38021721341698356,25.92685994424489,-0.06165359441342805,0.7455,0.99895
0.8,a_fitted_sigma1,draw5,9.9756134,0.37950032507142334,25.953647598304176,-0.06186922439104566,0.74495,0.999025
0.8,a_fitted_sigma1,draw6,9.994563,0.38144465149077783,26.226937958251245,-0.061870556958462726,0.746475,0.99895
0.8,a_fitted_sigma1,draw7,9.973744,0.37916075969627444,26.13700594387372,-0.06214231050831049,0.7447,0.99905
0.8,a_fitted_sigma1,draw8,9.9410963,0.38063049148439093,26.173024286423033,-0.06197712568608159,0.745825,0.999025
0.8,a_fitted_sigma1,draw9,9.9988127,0.3782638428835209,25.96975940298273,-0.06192180587393823,0.744125,0.99905
0.8,a_fitted_sigma1,draw10,9.966556,0.3789509109507457,25.79537876369041,-0.06178977526099737,0.744075,0.99905
0.8,a_fitted_sigma1,draw11,9.991876,0.37969496326140667,25.95091222812813,-0.061754695517615005,0.74515,0.998975
0.8,a_fitted_sigma1,draw12,9.9524176,0.38056923816611343,25.978604293598224,-0.06166402753230364,0.74595,0.999
0.8,a_fitted_sigma1,draw13,9.990616,0.38063861853797754,26.2197248029084,-0.0621422422624625,0.745525,0.999025
0.8,a_fitted_sigma1,draw14,9.9912393,0.38058308894226495,26.12713331301867,-0.06193560782513384,0.745425,0.999025
0.8,a_fitted_sigma1,draw15,9.970031,0.38039218223992066,25.919090228033856,-0.06167688862766143,0.7456,0.998975
0.8,a_fitted_sigma1,draw16,9.980145700000001,0.3786272518322274,26.060529420940206,-0.06222358519377463,0.744725,0.99905
0.8,a_fitted_sigma1,draw17,9.995092,0.3802804589701869,26.188487824181262,-0.062017075607728366,0.745275,0.999025
0.8,a_fitted_sigma1,draw18,9.948468,0.37913615717607835,25.843397949960064,-0.06175470744955515,0.74445,0.999025
0.8,a_fitted_sigma1,draw19,9.9693716,0.3789111611205574,25.897495033892568,-0.061860422335821466,0.744425,0.99905
0.8,a_fitted_matched,draw0,9.9999857,0.37997922040027926,26.06978540765152,-0.0406343843286955,0.838725,0.97585
0.8,a_fitted_matched,draw1,9.988717000000001,0.3798686987960564,26.102129183559722,-0.04069555786357522,0.83915,0.9759
0.8,a_fitted_matched,draw2,9.998658,0.3798703748032163,26.066967818256312,-0.0407365205198784,0.83865,0.97585
0.8,a_fitted_matched,draw3,9.983136700000001,0.3793967604780528,25.80824923376729,-0.041006934544149484,0.836825,0.97625
0.8,a_fitted_matched,draw4,9.98826,0.38021721341698356,25.92685994424489,-0.04064941816541223,0.838075,0.976025
0.8,a_fitted_matched,draw5,9.9756134,0.37950032507142334,25.953647598304176,-0.04109928072460272,0.837725,0.9764
0.8,a_fitted_matched,draw6,9.994563,0.38144465149077783,26.226937958251245,-0.04001376160604395,0.840825,0.975075
0.8,a_fitted_matched,draw7,9.973744,0.37916075969627444,26.13700594387372,-0.040964408305838515,0.839,0.976275
0.8,a_fitted_matched,draw8,9.9410963,0.38063049148439093,26.173024286423033,-0.0405131525953256,0.8397,0.975775
0.8,a_fitted_matched,draw9,9.9988127,0.3782638428835209,25.96975940298273,-0.04136814511389132,0.8374,0.97675
0.8,a_fitted_matched,draw10,9.966556,0.3789509109507457,25.79537876369041,-0.041199628450310964,0.83665,0.9766
0.8,a_fitted_matched,draw11,9.991876,0.37969496326140667,25.95091222812813,-0.040733853885395695,0.83805,0.976275
0.8,a_fitted_matched,draw12,9.9524176,0.38056923816611343,25.978604293598224,-0.04060248131889124,0.838725,0.975825
0.8,a_fitted_matched,draw13,9.990616,0.38063861853797754,26.2197248029084,-0.04040322993047956,0.839825,0.975425
0.8,a_fitted_matched,draw14,9.9912393,0.38058308894226495,26.12713331301867,-0.04044404918727942,0.83935,0.975525
0.8,a_fitted_matched,draw15,9.970031,0.38039218223992066,25.919090228033856,-0.04062717629540029,0.838225,0.976025
0.8,a_fitted_matched,draw16,9.980145700000001,0.3786272518322274,26.060529420940206,-0.041067385049647256,0.83825,0.97715
0.8,a_fitted_matched,draw17,9.995092,0.3802804589701869,26.188487824181262,-0.040499970471033465,0.839525,0.97565
0.8,a_fitted_matched,draw18,9.948468,0.37913615717607835,25.843397949960064,-0.04133305728197703,0.8369,0.97675
0.8,a_fitted_matched,draw19,9.9693716,0.3789111611205574,25.897495033892568,-0.04140649477841943,0.837125,0.976725
0.8,b_leakonly_sigma1,draw0,9.9999857,,26.06978540765152,0.06838854003251477,0.755725,0.0
0.8,b_leakonly_sigma1,draw1,9.988717000000001,,26.102129183559722,0.06828714234717219,0.755975,0.0
0.8,b_leakonly_sigma1,draw2,9.998658,,26.066967818256312,0.06843613567858468,0.7556,0.0
0.8,b_leakonly_sigma1,draw3,9.983136700000001,,25.80824923376729,0.06833606602830453,0.75485,0.0
0.8,b_leakonly_sigma1,draw4,9.98826,,25.92685994424489,0.06843336588395728,0.75545,0.0
0.8,b_leakonly_sigma1,draw5,9.9756134,,25.953647598304176,0.06837438006447032,0.755425,0.0
0.8,b_leakonly_sigma1,draw6,9.994563,,26.226937958251245,0.06833699562905744,0.75675,0.0
