param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.066,0.02,-0.104,-0.029,0.0,0.0,2636.0,2648.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
v_coherence_signed,8.003,0.225,7.597,8.438,0.004,0.004,2693.0,2372.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
a,1.184,0.011,1.165,1.205,0.0,0.0,2544.0,2165.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
z,0.497,0.009,0.48,0.515,0.0,0.0,2473.0,2463.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
g,0.971,0.028,0.922,1.0,0.001,0.001,2025.0,1287.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
v(0.15),1.135,0.039,1.061,1.206,0.001,0.001,2753.0,2654.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
v(0),-0.066,0.02,-0.104,-0.029,0.0,0.0,2636.0,2648.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
v(-0.15),-1.266,0.04,-1.345,-1.197,0.001,0.001,2692.0,2476.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
g_native,9.713,0.276,9.22,10.0,0.006,0.011,2025.0,1287.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
a_native,0.375,0.004,0.368,0.381,0.0,0.0,2544.0,2165.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
v_native(0.15),3.588,0.123,3.356,3.812,0.002,0.002,2753.0,2654.0,1.0,0.8,10.0,1.5,46,1935,0.37,g0.8_k10_b1.5_s46
